# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
1.8000257e-05  	-1.84772135e-03	2.58723643e-06
1.8000514e-05  	-1.84761125e-03	2.58707682e-06
1.8000771e-05  	-1.84749962e-03	2.58691731e-06
1.8001028e-05  	-1.84738810e-03	2.58675791e-06
1.8001285e-05  	-1.84727670e-03	2.58659867e-06
1.8001542e-05  	-1.84716542e-03	2.58643959e-06
1.8001799e-05  	-1.84705429e-03	2.58628072e-06
1.8002056e-05  	-1.84694330e-03	2.58612205e-06
1.8002313e-05  	-1.84683244e-03	2.58596359e-06
1.800257e-05   	-1.84672172e-03	2.58580533e-06
1.8002827e-05  	-1.84661111e-03	2.58564727e-06
1.8003084e-05  	-1.84650064e-03	2.58548942e-06
1.8003341e-05  	-1.84639031e-03	2.58533180e-06
1.8003598e-05  	-1.84628013e-03	2.58517442e-06
1.8003856e-05  	-1.84617009e-03	2.58501728e-06
1.8004113e-05  	-1.84606021e-03	2.58486040e-06
1.800437e-05   	-1.84595048e-03	2.58470380e-06
1.8004627e-05  	-1.84584092e-03	2.58454746e-06
1.8004884e-05  	-1.84573152e-03	2.58439141e-06
1.8005141e-05  	-1.84562229e-03	2.58423564e-06
1.8005398e-05  	-1.84551325e-03	2.58408018e-06
1.8005655e-05  	-1.84540439e-03	2.58392505e-06
1.8005912e-05  	-1.84529573e-03	2.58377025e-06
1.800617e-05   	-1.84518726e-03	2.58361578e-06
1.8006427e-05  	-1.84507898e-03	2.58346165e-06
1.8006684e-05  	-1.84497091e-03	2.58330788e-06
1.8006941e-05  	-1.84486308e-03	2.58315449e-06
1.8007198e-05  	-1.84475549e-03	2.58300153e-06
1.8007455e-05  	-1.84464816e-03	2.58284898e-06
1.8007713e-05  	-1.84454109e-03	2.58269687e-06
1.800797e-05   	-1.84443426e-03	2.58254518e-06
1.8008227e-05  	-1.84432768e-03	2.58239392e-06
1.8008484e-05  	-1.84422138e-03	2.58224309e-06
1.8008741e-05  	-1.84411533e-03	2.58209271e-06
1.8008999e-05  	-1.84400956e-03	2.58194278e-06
1.8009256e-05  	-1.84390404e-03	2.58179329e-06
1.8009513e-05  	-1.84379879e-03	2.58164426e-06
1.800977e-05   	-1.84369379e-03	2.58149567e-06
1.8010028e-05  	-1.84358905e-03	2.58134753e-06
1.8010285e-05  	-1.84348457e-03	2.58119984e-06
1.8010542e-05  	-1.84338037e-03	2.58105264e-06
1.8010799e-05  	-1.84327642e-03	2.58090589e-06
1.8011057e-05  	-1.84317271e-03	2.58075955e-06
1.8011314e-05  	-1.84306924e-03	2.58061365e-06
1.8011571e-05  	-1.84296602e-03	2.58046820e-06
1.8011828e-05  	-1.84286305e-03	2.58032321e-06
1.8012086e-05  	-1.84276034e-03	2.58017870e-06
1.8012343e-05  	-1.84265790e-03	2.58003466e-06
1.80126e-05    	-1.84255575e-03	2.57989113e-06
1.8012857e-05  	-1.84245388e-03	2.57974811e-06
1.8013115e-05  	-1.84235231e-03	2.57960563e-06
1.8013372e-05  	-1.84225106e-03	2.57946371e-06
1.8013629e-05  	-1.84215013e-03	2.57932241e-06
1.8013887e-05  	-1.84204951e-03	2.57918168e-06
1.8014144e-05  	-1.84194921e-03	2.57904151e-06
1.8014401e-05  	-1.84184923e-03	2.57890193e-06
1.8014659e-05  	-1.84174958e-03	2.57876294e-06
1.8014916e-05  	-1.84165024e-03	2.57862453e-06
1.8015173e-05  	-1.84155121e-03	2.57848668e-06
1.8015431e-05  	-1.84145248e-03	2.57834939e-06
1.8015688e-05  	-1.84135407e-03	2.57821266e-06
1.8015945e-05  	-1.84125595e-03	2.57807648e-06
1.8016203e-05  	-1.84115812e-03	2.57794084e-06
1.801646e-05   	-1.84106057e-03	2.57780574e-06
1.8016717e-05  	-1.84096331e-03	2.57767117e-06
1.8016975e-05  	-1.84086635e-03	2.57753713e-06
1.8017232e-05  	-1.84076968e-03	2.57740364e-06
1.8017489e-05  	-1.84067330e-03	2.57727071e-06
1.8017747e-05  	-1.84057722e-03	2.57713833e-06
1.8018004e-05  	-1.84048142e-03	2.57700650e-06
1.8018261e-05  	-1.84038590e-03	2.57687519e-06
1.8018519e-05  	-1.84029066e-03	2.57674441e-06
1.8018776e-05  	-1.84019568e-03	2.57661414e-06
1.8019034e-05  	-1.84010094e-03	2.57648435e-06
1.8019291e-05  	-1.84000645e-03	2.57635505e-06
1.8019548e-05  	-1.83991223e-03	2.57622624e-06
1.8019806e-05  	-1.83981827e-03	2.57609795e-06
1.8020063e-05  	-1.83972459e-03	2.57597016e-06
1.8020321e-05  	-1.83963117e-03	2.57584287e-06
1.8020578e-05  	-1.83953801e-03	2.57571607e-06
1.8020835e-05  	-1.83944511e-03	2.57558974e-06
1.8021093e-05  	-1.83935246e-03	2.57546388e-06
1.802135e-05   	-1.83926003e-03	2.57533847e-06
1.8021608e-05  	-1.83916785e-03	2.57521352e-06
1.8021865e-05  	-1.83907591e-03	2.57508901e-06
1.8022123e-05  	-1.83898421e-03	2.57496495e-06
1.802238e-05   	-1.83889276e-03	2.57484135e-06
1.8022637e-05  	-1.83880157e-03	2.57471821e-06
1.8022895e-05  	-1.83871061e-03	2.57459548e-06
1.8023152e-05  	-1.83861989e-03	2.57447318e-06
1.802341e-05   	-1.83852943e-03	2.57435131e-06
1.8023667e-05  	-1.83843920e-03	2.57422987e-06
1.8023925e-05  	-1.83834923e-03	2.57410885e-06
1.8024182e-05  	-1.83825949e-03	2.57398824e-06
1.802444e-05   	-1.83816997e-03	2.57386801e-06
1.8024697e-05  	-1.83808065e-03	2.57374814e-06
1.8024955e-05  	-1.83799151e-03	2.57362860e-06
1.8025212e-05  	-1.83790256e-03	2.57350938e-06
1.802547e-05   	-1.83781379e-03	2.57339048e-06
1.8025727e-05  	-1.83772517e-03	2.57327189e-06
1.8025985e-05  	-1.83763672e-03	2.57315359e-06
1.8026242e-05  	-1.83754843e-03	2.57303557e-06
1.80265e-05    	-1.83746029e-03	2.57291783e-06
1.8026757e-05  	-1.83737231e-03	2.57280037e-06
1.8027015e-05  	-1.83728447e-03	2.57268317e-06
1.8027272e-05  	-1.83719680e-03	2.57256622e-06
