# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
6.0002766e-06  	-1.92675464e-03	2.69323330e-06
6.0005533e-06  	-1.92671186e-03	2.69319089e-06
6.0008301e-06  	-1.92667371e-03	2.69315296e-06
6.0011072e-06  	-1.92663828e-03	2.69311838e-06
6.0013843e-06  	-1.92660514e-03	2.69308679e-06
6.0016616e-06  	-1.92657475e-03	2.69305886e-06
6.001939e-06   	-1.92654687e-03	2.69303400e-06
6.0022166e-06  	-1.92652209e-03	2.69301306e-06
6.0024943e-06  	-1.92650077e-03	2.69299647e-06
6.0027722e-06  	-1.92648210e-03	2.69298254e-06
6.0030503e-06  	-1.92646542e-03	2.69297102e-06
6.0033285e-06  	-1.92645087e-03	2.69296223e-06
6.0036069e-06  	-1.92643930e-03	2.69295745e-06
6.0038854e-06  	-1.92643116e-03	2.69295724e-06
6.0041642e-06  	-1.92642717e-03	2.69296264e-06
6.004443e-06   	-1.92642755e-03	2.69297387e-06
6.004722e-06   	-1.92643239e-03	2.69299110e-06
6.0050012e-06  	-1.92644160e-03	2.69301412e-06
6.0052806e-06  	-1.92645219e-03	2.69303872e-06
6.0055601e-06  	-1.92646358e-03	2.69306422e-06
6.0058398e-06  	-1.92647715e-03	2.69309257e-06
6.0061197e-06  	-1.92649355e-03	2.69312485e-06
6.0063997e-06  	-1.92651318e-03	2.69316123e-06
6.0066799e-06  	-1.92653222e-03	2.69319651e-06
6.0069602e-06  	-1.92655192e-03	2.69323246e-06
6.0072408e-06  	-1.92657633e-03	2.69327551e-06
6.0075215e-06  	-1.92660518e-03	2.69332527e-06
6.0078024e-06  	-1.92663663e-03	2.69337946e-06
6.0080835e-06  	-1.92666727e-03	2.69343338e-06
6.0083648e-06  	-1.92669597e-03	2.69348541e-06
6.0086462e-06  	-1.92672183e-03	2.69353403e-06
6.0089279e-06  	-1.92674574e-03	2.69358054e-06
6.0092098e-06  	-1.92676749e-03	2.69362472e-06
6.0094918e-06  	-1.92678757e-03	2.69366737e-06
6.009774e-06   	-1.92680740e-03	2.69371034e-06
6.0100564e-06  	-1.92682788e-03	2.69375500e-06
6.0103391e-06  	-1.92685058e-03	2.69380366e-06
6.0106219e-06  	-1.92687713e-03	2.69385845e-06
6.0109049e-06  	-1.92690442e-03	2.69391518e-06
6.0111881e-06  	-1.92693658e-03	2.69397977e-06
6.0114715e-06  	-1.92697392e-03	2.69405249e-06
6.0117551e-06  	-1.92701592e-03	2.69413300e-06
6.0120389e-06  	-1.92706185e-03	2.69422021e-06
6.0123228e-06  	-1.92710951e-03	2.69431081e-06
6.012607e-06   	-1.92715565e-03	2.69440039e-06
6.0128913e-06  	-1.92719773e-03	2.69448497e-06
6.0131759e-06  	-1.92723456e-03	2.69456312e-06
6.0134606e-06  	-1.92726562e-03	2.69463448e-06
6.0137455e-06  	-1.92729423e-03	2.69470329e-06
6.0140306e-06  	-1.92732182e-03	2.69477182e-06
6.0143159e-06  	-1.92734916e-03	2.69484081e-06
6.0146014e-06  	-1.92737545e-03	2.69490921e-06
6.0148871e-06  	-1.92739997e-03	2.69497595e-06
6.015173e-06   	-1.92742190e-03	2.69503961e-06
6.015459e-06   	-1.92743998e-03	2.69509860e-06
6.0157453e-06  	-1.92745264e-03	2.69515056e-06
6.0160317e-06  	-1.92746002e-03	2.69519538e-06
6.0163183e-06  	-1.92745933e-03	2.69522911e-06
6.0166052e-06  	-1.92745051e-03	2.69525182e-06
6.0168922e-06  	-1.92743541e-03	2.69526665e-06
6.0171794e-06  	-1.92741582e-03	2.69527593e-06
6.0174667e-06  	-1.92739251e-03	2.69528058e-06
6.0177543e-06  	-1.92736606e-03	2.69528134e-06
6.018042e-06   	-1.92733658e-03	2.69527856e-06
6.01833e-06    	-1.92730412e-03	2.69527247e-06
6.0186181e-06  	-1.92726856e-03	2.69526260e-06
6.0189064e-06  	-1.92723010e-03	2.69524852e-06
