# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
2.6000179e-05  	-2.74570221e-03	3.84084362e-06
2.6000357e-05  	-2.74573047e-03	3.84087689e-06
2.6000536e-05  	-2.74575474e-03	3.84091013e-06
2.6000714e-05  	-2.74577907e-03	3.84094339e-06
2.6000893e-05  	-2.74580348e-03	3.84097668e-06
2.6001071e-05  	-2.74582799e-03	3.84100996e-06
2.600125e-05   	-2.74585256e-03	3.84104328e-06
2.6001428e-05  	-2.74587722e-03	3.84107664e-06
2.6001607e-05  	-2.74590195e-03	3.84111003e-06
2.6001785e-05  	-2.74592676e-03	3.84114343e-06
2.6001964e-05  	-2.74595164e-03	3.84117682e-06
2.6002142e-05  	-2.74597659e-03	3.84121026e-06
2.6002321e-05  	-2.74600163e-03	3.84124371e-06
2.6002499e-05  	-2.74602675e-03	3.84127717e-06
2.6002678e-05  	-2.74605195e-03	3.84131066e-06
2.6002856e-05  	-2.74607723e-03	3.84134418e-06
2.6003034e-05  	-2.74610259e-03	3.84137773e-06
2.6003213e-05  	-2.74612804e-03	3.84141132e-06
2.6003391e-05  	-2.74615357e-03	3.84144488e-06
2.600357e-05   	-2.74617915e-03	3.84147846e-06
2.6003748e-05  	-2.74620482e-03	3.84151204e-06
2.6003927e-05  	-2.74623053e-03	3.84154563e-06
2.6004105e-05  	-2.74625631e-03	3.84157923e-06
2.6004284e-05  	-2.74628216e-03	3.84161281e-06
2.6004462e-05  	-2.74630807e-03	3.84164641e-06
2.6004641e-05  	-2.74633405e-03	3.84168002e-06
2.6004819e-05  	-2.74636009e-03	3.84171365e-06
2.6004998e-05  	-2.74638620e-03	3.84174728e-06
2.6005176e-05  	-2.74641238e-03	3.84178088e-06
2.6005355e-05  	-2.74643861e-03	3.84181449e-06
2.6005533e-05  	-2.74646491e-03	3.84184812e-06
2.6005712e-05  	-2.74649127e-03	3.84188177e-06
2.600589e-05   	-2.74651771e-03	3.84191542e-06
2.6006069e-05  	-2.74654420e-03	3.84194905e-06
2.6006247e-05  	-2.74657074e-03	3.84198269e-06
2.6006425e-05  	-2.74659734e-03	3.84201633e-06
2.6006604e-05  	-2.74662399e-03	3.84204998e-06
2.6006782e-05  	-2.74665072e-03	3.84208367e-06
2.6006961e-05  	-2.74667752e-03	3.84211734e-06
2.6007139e-05  	-2.74670437e-03	3.84215105e-06
2.6007318e-05  	-2.74673127e-03	3.84218477e-06
2.6007496e-05  	-2.74675824e-03	3.84221853e-06
2.6007675e-05  	-2.74678532e-03	3.84225231e-06
2.6007853e-05  	-2.74681250e-03	3.84228608e-06
2.6008031e-05  	-2.74683976e-03	3.84231989e-06
2.600821e-05   	-2.74686711e-03	3.84235375e-06
2.6008388e-05  	-2.74689455e-03	3.84238767e-06
2.6008567e-05  	-2.74692209e-03	3.84242163e-06
2.6008745e-05  	-2.74694972e-03	3.84245560e-06
2.6008924e-05  	-2.74697743e-03	3.84248965e-06
2.6009102e-05  	-2.74700525e-03	3.84252375e-06
2.6009281e-05  	-2.74703314e-03	3.84255791e-06
2.6009459e-05  	-2.74706111e-03	3.84259213e-06
2.6009637e-05  	-2.74708917e-03	3.84262640e-06
2.6009816e-05  	-2.74711730e-03	3.84266073e-06
2.6009994e-05  	-2.74714550e-03	3.84269509e-06
2.6010173e-05  	-2.74717377e-03	3.84272950e-06
2.6010351e-05  	-2.74720214e-03	3.84276399e-06
2.601053e-05   	-2.74723057e-03	3.84279856e-06
2.6010708e-05  	-2.74725908e-03	3.84283319e-06
2.6010886e-05  	-2.74728767e-03	3.84286786e-06
2.6011065e-05  	-2.74731632e-03	3.84290260e-06
2.6011243e-05  	-2.74734506e-03	3.84293742e-06
2.6011422e-05  	-2.74737386e-03	3.84297230e-06
2.60116e-05    	-2.74740272e-03	3.84300726e-06
2.6011778e-05  	-2.74743167e-03	3.84304229e-06
2.6011957e-05  	-2.74746070e-03	3.84307740e-06
2.6012135e-05  	-2.74748982e-03	3.84311256e-06
2.6012314e-05  	-2.74751902e-03	3.84314781e-06
2.6012492e-05  	-2.74754831e-03	3.84318316e-06
2.601267e-05   	-2.74757767e-03	3.84321860e-06
2.6012849e-05  	-2.74760712e-03	3.84325414e-06
2.6013027e-05  	-2.74763665e-03	3.84328978e-06
2.6013206e-05  	-2.74766627e-03	3.84332552e-06
2.6013384e-05  	-2.74769597e-03	3.84336137e-06
2.6013562e-05  	-2.74772577e-03	3.84339735e-06
2.6013741e-05  	-2.74775566e-03	3.84343339e-06
2.6013919e-05  	-2.74778562e-03	3.84346955e-06
2.6014098e-05  	-2.74781567e-03	3.84350581e-06
2.6014276e-05  	-2.74784578e-03	3.84354220e-06
2.6014454e-05  	-2.74787598e-03	3.84357869e-06
2.6014633e-05  	-2.74790624e-03	3.84361529e-06
2.6014811e-05  	-2.74793658e-03	3.84365199e-06
2.6014989e-05  	-2.74796699e-03	3.84368885e-06
2.6015168e-05  	-2.74799747e-03	3.84372575e-06
2.6015346e-05  	-2.74802802e-03	3.84376282e-06
2.6015525e-05  	-2.74805864e-03	3.84379987e-06
2.6015703e-05  	-2.74808934e-03	3.84383722e-06
2.6015881e-05  	-2.74812011e-03	3.84387447e-06
2.601606e-05   	-2.74815096e-03	3.84391208e-06
2.6016238e-05  	-2.74818188e-03	3.84394956e-06
2.6016416e-05  	-2.74821288e-03	3.84398743e-06
2.6016595e-05  	-2.74824395e-03	3.84402514e-06
2.6016773e-05  	-2.74827510e-03	3.84406327e-06
2.6016951e-05  	-2.74830632e-03	3.84410122e-06
2.601713e-05   	-2.74833761e-03	3.84413960e-06
2.6017308e-05  	-2.74836898e-03	3.84417779e-06
2.6017487e-05  	-2.74840044e-03	3.84421647e-06
2.6017665e-05  	-2.74843197e-03	3.84425489e-06
2.6017843e-05  	-2.74846360e-03	3.84429384e-06
2.6018022e-05  	-2.74849531e-03	3.84433257e-06
2.60182e-05    	-2.74852712e-03	3.84437186e-06
2.6018378e-05  	-2.74855902e-03	3.84441092e-06
2.6018557e-05  	-2.74859102e-03	3.84445054e-06
2.6018735e-05  	-2.74862310e-03	3.84448995e-06
2.6018913e-05  	-2.74865528e-03	3.84452988e-06
2.6019092e-05  	-2.74868755e-03	3.84456967e-06
2.601927e-05   	-2.74871991e-03	3.84460994e-06
2.6019448e-05  	-2.74875237e-03	3.84465011e-06
2.6019627e-05  	-2.74878491e-03	3.84469071e-06
2.6019805e-05  	-2.74881754e-03	3.84473125e-06
2.6019983e-05  	-2.74885027e-03	3.84477218e-06
2.6020162e-05  	-2.74888308e-03	3.84481310e-06
2.602034e-05   	-2.74891598e-03	3.84485436e-06
2.6020518e-05  	-2.74894899e-03	3.84489568e-06
2.6020697e-05  	-2.74898208e-03	3.84493729e-06
2.6020875e-05  	-2.74901528e-03	3.84497900e-06
2.6021053e-05  	-2.74904855e-03	3.84502096e-06
2.6021231e-05  	-2.74908192e-03	3.84506304e-06
2.602141e-05   	-2.74911537e-03	3.84510533e-06
2.6021588e-05  	-2.74914895e-03	3.84514775e-06
2.6021766e-05  	-2.74918264e-03	3.84519038e-06
