# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	9.000000000000000e-02	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	2.660000000000000e+00	2	2.570000000000000e+00	2.000000000000000e+00
2.63999616000445e-10  	5.260000000000000e+00	5	2.600000000000000e+00	3.000000000000000e+00
4.36799071335788e-10  	7.830000000000000e+00	7	2.570000000000000e+00	2.000000000000000e+00
6.4415820274799e-10   	1.035000000000000e+01	10	2.520000000000000e+00	3.000000000000000e+00
8.92988954051989e-10  	1.294000000000000e+01	12	2.590000000000000e+00	2.000000000000000e+00
1.19158555841406e-09  	1.555000000000000e+01	15	2.610000000000001e+00	3.000000000000000e+00
1.54990019973483e-09  	1.810000000000000e+01	18	2.550000000000001e+00	3.000000000000000e+00
1.97987715304205e-09  	2.063000000000000e+01	20	2.529999999999998e+00	2.000000000000000e+00
2.49584683469715e-09  	2.318000000000000e+01	23	2.550000000000001e+00	3.000000000000000e+00
3.11500725792346e-09  	2.578000000000000e+01	25	2.600000000000001e+00	2.000000000000000e+00
3.85799792561604e-09  	2.843000000000000e+01	28	2.649999999999999e+00	3.000000000000000e+00
4.74957877730543e-09  	3.106000000000000e+01	31	2.629999999999999e+00	3.000000000000000e+00
5.81947007569327e-09  	3.372000000000000e+01	33	2.660000000000000e+00	2.000000000000000e+00
7.10332314980061e-09  	3.640000000000000e+01	36	2.680000000000000e+00	3.000000000000000e+00
8.6439270582337e-09   	3.832000000000000e+01	38	1.920000000000002e+00	2.000000000000000e+00
1.04926403548289e-08  	4.101000000000000e+01	41	2.689999999999998e+00	3.000000000000000e+00
1.27110799039868e-08  	4.375000000000000e+01	43	2.740000000000002e+00	2.000000000000000e+00
1.53731482990905e-08  	4.660000000000000e+01	46	2.850000000000001e+00	3.000000000000000e+00
1.85675453231065e-08  	4.941000000000000e+01	49	2.809999999999995e+00	3.000000000000000e+00
2.24007482696493e-08  	5.227000000000000e+01	52	2.860000000000007e+00	3.000000000000000e+00
2.70003801822243e-08  	5.520000000000000e+01	55	2.930000000000000e+00	3.000000000000000e+00
3.25197861127614e-08  	5.822000000000000e+01	58	3.019999999999996e+00	3.000000000000000e+00
3.91427806943095e-08  	6.132000000000000e+01	61	3.100000000000001e+00	3.000000000000000e+00
4.7090058259845e-08   	6.452000000000000e+01	64	3.199999999999996e+00	3.000000000000000e+00
5.66266396873558e-08  	6.781000000000000e+01	67	3.290000000000006e+00	3.000000000000000e+00
6.8069663887071e-08   	7.120000000000000e+01	71	3.390000000000001e+00	4.000000000000000e+00
8.18003495611728e-08  	7.478000000000000e+01	74	3.579999999999998e+00	3.000000000000000e+00
9.8274908448302e-08   	7.851000000000001e+01	78	3.730000000000004e+00	4.000000000000000e+00
1.18041771347303e-07  	8.237000000000000e+01	82	3.859999999999999e+00	4.000000000000000e+00
1.41761068005734e-07  	8.641000000000000e+01	86	4.039999999999992e+00	4.000000000000000e+00
1.7021881634771e-07   	9.056999999999999e+01	90	4.159999999999997e+00	4.000000000000000e+00
2.04360328380423e-07  	9.484999999999999e+01	94	4.280000000000001e+00	4.000000000000000e+00
2.45327339739873e-07  	9.931000000000000e+01	99	4.460000000000008e+00	5.000000000000000e+00
2.94467572577439e-07  	1.039500000000000e+02	104	4.640000000000001e+00	5.000000000000000e+00
3.53430040009386e-07  	1.088400000000000e+02	108	4.890000000000001e+00	4.000000000000000e+00
4.24151523302496e-07  	1.137300000000000e+02	113	4.890000000000001e+00	5.000000000000000e+00
5.07828706896359e-07  	1.153400000000000e+02	115	1.609999999999999e+00	2.000000000000000e+00
6.02583155746934e-07  	1.171200000000000e+02	117	1.780000000000001e+00	2.000000000000000e+00
6.98526608299302e-07  	1.188700000000000e+02	118	1.750000000000000e+00	1.000000000000000e+00
7.83472265606146e-07  	1.204800000000000e+02	120	1.609999999999999e+00	2.000000000000000e+00
8.60803931805985e-07  	1.219500000000000e+02	122	1.469999999999999e+00	2.000000000000000e+00
9.32436298907281e-07  	1.233400000000000e+02	123	1.390000000000001e+00	1.000000000000000e+00
9.99600748874124e-07  	1.247200000000000e+02	124	1.379999999999995e+00	1.000000000000000e+00
1.06314400898396e-06  	1.260500000000000e+02	126	1.329999999999998e+00	2.000000000000000e+00
1.12372995876413e-06  	1.273200000000000e+02	127	1.269999999999996e+00	1.000000000000000e+00
1.18182412447578e-06  	1.285600000000000e+02	128	1.240000000000009e+00	1.000000000000000e+00
1.23778005645513e-06  	1.297700000000000e+02	129	1.210000000000008e+00	1.000000000000000e+00
1.2918963413557e-06   	1.309400000000000e+02	131	1.169999999999987e+00	2.000000000000000e+00
1.34440065181243e-06  	1.321100000000000e+02	132	1.170000000000016e+00	1.000000000000000e+00
1.39551754266641e-06  	1.333100000000000e+02	133	1.199999999999989e+00	1.000000000000000e+00
1.44536814047093e-06  	1.345200000000000e+02	134	1.210000000000008e+00	1.000000000000000e+00
1.4941334209556e-06   	1.357100000000000e+02	135	1.189999999999998e+00	1.000000000000000e+00
1.54188226563764e-06  	1.368800000000000e+02	137	1.169999999999987e+00	2.000000000000000e+00
1.58874476812901e-06  	1.380300000000000e+02	138	1.150000000000006e+00	1.000000000000000e+00
1.6347743542992e-06   	1.391800000000000e+02	139	1.150000000000006e+00	1.000000000000000e+00
1.68004137024292e-06  	1.403200000000000e+02	140	1.139999999999986e+00	1.000000000000000e+00
1.72457033701364e-06  	1.414400000000000e+02	141	1.120000000000005e+00	1.000000000000000e+00
1.76838461684556e-06  	1.425500000000000e+02	142	1.110000000000014e+00	1.000000000000000e+00
1.81152542289877e-06  	1.436400000000000e+02	143	1.089999999999975e+00	1.000000000000000e+00
1.85401286321772e-06  	1.447400000000000e+02	144	1.100000000000023e+00	1.000000000000000e+00
1.89586616263639e-06  	1.458100000000000e+02	145	1.069999999999993e+00	1.000000000000000e+00
1.93710371363991e-06  	1.468700000000000e+02	147	1.060000000000002e+00	2.000000000000000e+00
1.97772628873782e-06  	1.479200000000000e+02	148	1.049999999999983e+00	1.000000000000000e+00
2.01775171695801e-06  	1.488700000000000e+02	149	9.500000000000171e-01	1.000000000000000e+00
2.05718119312825e-06  	1.498300000000000e+02	149	9.600000000000080e-01	0.000000000000000e+00
2.09600117680121e-06  	1.507800000000000e+02	150	9.499999999999886e-01	1.000000000000000e+00
2.1342150717361e-06   	1.517200000000000e+02	151	9.399999999999977e-01	1.000000000000000e+00
2.1718123767412e-06   	1.526500000000000e+02	152	9.300000000000068e-01	1.000000000000000e+00
2.2088124477031e-06   	1.535700000000000e+02	153	9.199999999999875e-01	1.000000000000000e+00
2.24522018692584e-06  	1.545100000000000e+02	154	9.399999999999977e-01	1.000000000000000e+00
2.28102779857899e-06  	1.555000000000000e+02	155	9.900000000000091e-01	1.000000000000000e+00
2.31625453693566e-06  	1.564900000000000e+02	156	9.900000000000091e-01	1.000000000000000e+00
