# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	1.100000000000000e-01	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	5.330000000000000e+00	5	5.220000000000000e+00	5.000000000000000e+00
2.63999616000445e-10  	1.039000000000000e+01	10	5.060000000000000e+00	5.000000000000000e+00
4.36799071335788e-10  	1.542000000000000e+01	15	5.029999999999999e+00	5.000000000000000e+00
6.4415820274799e-10   	2.043000000000000e+01	20	5.010000000000000e+00	5.000000000000000e+00
8.92988954051989e-10  	2.406000000000000e+01	24	3.629999999999999e+00	4.000000000000000e+00
1.19158555841406e-09  	2.906000000000000e+01	29	5.000000000000000e+00	5.000000000000000e+00
1.54990019973483e-09  	3.409000000000000e+01	34	5.030000000000005e+00	5.000000000000000e+00
1.97987715304205e-09  	3.920000000000000e+01	39	5.109999999999999e+00	5.000000000000000e+00
2.49584683469715e-09  	4.432000000000000e+01	44	5.119999999999997e+00	5.000000000000000e+00
3.11500725792346e-09  	4.946000000000000e+01	49	5.140000000000001e+00	5.000000000000000e+00
3.85799792561604e-09  	5.456000000000000e+01	54	5.100000000000001e+00	5.000000000000000e+00
4.74957877730543e-09  	5.973000000000000e+01	59	5.169999999999995e+00	5.000000000000000e+00
5.81947007569327e-09  	6.486000000000000e+01	64	5.130000000000003e+00	5.000000000000000e+00
7.10332314980061e-09  	7.003000000000000e+01	70	5.170000000000002e+00	6.000000000000000e+00
8.6439270582337e-09   	7.551000000000001e+01	75	5.480000000000004e+00	5.000000000000000e+00
1.04926403548289e-08  	8.064000000000000e+01	80	5.129999999999995e+00	5.000000000000000e+00
1.27110799039868e-08  	8.588000000000000e+01	86	5.239999999999995e+00	6.000000000000000e+00
1.53731482990905e-08  	9.101000000000001e+01	91	5.130000000000010e+00	5.000000000000000e+00
1.85675453231065e-08  	9.628000000000000e+01	96	5.269999999999996e+00	5.000000000000000e+00
2.24007482696493e-08  	1.015700000000000e+02	101	5.289999999999992e+00	5.000000000000000e+00
2.70003801822243e-08  	1.068800000000000e+02	106	5.310000000000002e+00	5.000000000000000e+00
3.25197861127614e-08  	1.121200000000000e+02	112	5.240000000000009e+00	6.000000000000000e+00
3.91427806943095e-08  	1.173300000000000e+02	117	5.209999999999994e+00	5.000000000000000e+00
4.7090058259845e-08   	1.225800000000000e+02	122	5.250000000000000e+00	5.000000000000000e+00
5.66266396873558e-08  	1.279200000000000e+02	128	5.340000000000003e+00	6.000000000000000e+00
6.8069663887071e-08   	1.333600000000000e+02	133	5.440000000000012e+00	5.000000000000000e+00
8.18003495611728e-08  	1.388800000000000e+02	139	5.519999999999982e+00	6.000000000000000e+00
9.8274908448302e-08   	1.443800000000000e+02	144	5.500000000000000e+00	5.000000000000000e+00
1.18041771347303e-07  	1.499300000000000e+02	150	5.550000000000011e+00	6.000000000000000e+00
1.41761068005734e-07  	1.554500000000000e+02	155	5.519999999999982e+00	5.000000000000000e+00
1.7021881634771e-07   	1.610600000000000e+02	161	5.610000000000014e+00	6.000000000000000e+00
2.04360328380423e-07  	1.669600000000000e+02	167	5.900000000000006e+00	6.000000000000000e+00
2.45327339739873e-07  	1.729500000000000e+02	173	5.989999999999981e+00	6.000000000000000e+00
2.94467572577439e-07  	1.788800000000000e+02	179	5.930000000000007e+00	6.000000000000000e+00
3.53430040009386e-07  	1.847900000000000e+02	184	5.909999999999997e+00	5.000000000000000e+00
4.24151523302496e-07  	1.884100000000000e+02	188	3.620000000000005e+00	4.000000000000000e+00
5.07828706896359e-07  	1.908000000000000e+02	190	2.390000000000015e+00	2.000000000000000e+00
6.02583155746934e-07  	1.933100000000000e+02	193	2.509999999999991e+00	3.000000000000000e+00
6.98526608299302e-07  	1.957700000000000e+02	195	2.460000000000008e+00	2.000000000000000e+00
7.83472265606146e-07  	1.980100000000000e+02	198	2.239999999999981e+00	3.000000000000000e+00
8.60803931805985e-07  	2.002200000000000e+02	200	2.210000000000008e+00	2.000000000000000e+00
9.32436298907281e-07  	2.022200000000000e+02	202	2.000000000000000e+00	2.000000000000000e+00
9.99555244504228e-07  	2.041700000000000e+02	204	1.949999999999989e+00	2.000000000000000e+00
1.06309853382098e-06  	2.060700000000000e+02	206	1.900000000000006e+00	2.000000000000000e+00
1.12364743312708e-06  	2.080000000000000e+02	208	1.930000000000007e+00	2.000000000000000e+00
1.18170753445819e-06  	2.098700000000000e+02	209	1.870000000000005e+00	1.000000000000000e+00
1.2376635324568e-06   	2.117400000000000e+02	211	1.870000000000005e+00	2.000000000000000e+00
1.29177988120614e-06  	2.135100000000000e+02	213	1.769999999999982e+00	2.000000000000000e+00
1.34428425360975e-06  	2.152300000000000e+02	215	1.719999999999999e+00	2.000000000000000e+00
1.39540120477368e-06  	2.169500000000000e+02	217	1.719999999999999e+00	2.000000000000000e+00
1.44525186139412e-06  	2.186300000000000e+02	218	1.680000000000007e+00	1.000000000000000e+00
1.49399308203636e-06  	2.203700000000000e+02	220	1.740000000000009e+00	2.000000000000000e+00
1.54174199474502e-06  	2.220500000000000e+02	222	1.680000000000007e+00	2.000000000000000e+00
1.58858226972373e-06  	2.236800000000000e+02	223	1.629999999999995e+00	1.000000000000000e+00
1.63461193189879e-06  	2.253800000000000e+02	225	1.699999999999989e+00	2.000000000000000e+00
1.67985820055937e-06  	2.270300000000000e+02	227	1.650000000000006e+00	2.000000000000000e+00
1.72438725028738e-06  	2.286500000000000e+02	228	1.620000000000005e+00	1.000000000000000e+00
1.76820161174512e-06  	2.302300000000000e+02	230	1.579999999999984e+00	2.000000000000000e+00
1.81132356011573e-06  	2.318200000000000e+02	231	1.590000000000003e+00	1.000000000000000e+00
1.85381108778336e-06  	2.334600000000000e+02	233	1.640000000000015e+00	2.000000000000000e+00
1.89566447324699e-06  	2.350400000000000e+02	235	1.579999999999984e+00	2.000000000000000e+00
1.93690210902957e-06  	2.365900000000000e+02	236	1.550000000000011e+00	1.000000000000000e+00
1.97752476764223e-06  	2.381100000000000e+02	238	1.520000000000010e+00	2.000000000000000e+00
2.01755027814952e-06  	2.396300000000000e+02	239	1.519999999999982e+00	1.000000000000000e+00
2.05697983538166e-06  	2.411500000000000e+02	241	1.520000000000010e+00	2.000000000000000e+00
2.09579989886347e-06  	2.427500000000000e+02	242	1.599999999999994e+00	1.000000000000000e+00
2.13401387236118e-06  	2.443800000000000e+02	244	1.629999999999995e+00	2.000000000000000e+00
2.17161125466147e-06  	2.459200000000000e+02	246	1.539999999999992e+00	2.000000000000000e+00
2.20861140169072e-06  	2.474500000000000e+02	247	1.530000000000001e+00	1.000000000000000e+00
2.24500566614859e-06  	2.489700000000000e+02	249	1.520000000000010e+00	2.000000000000000e+00
2.28081335638077e-06  	2.504400000000000e+02	250	1.469999999999999e+00	1.000000000000000e+00
2.31604017204177e-06  	2.519100000000000e+02	252	1.469999999999999e+00	2.000000000000000e+00
2.35069216204814e-06  	2.533500000000000e+02	253	1.439999999999998e+00	1.000000000000000e+00
2.38477569008931e-06  	2.547800000000000e+02	254	1.430000000000007e+00	1.000000000000000e+00
2.4182974017342e-06   	2.562300000000000e+02	256	1.450000000000017e+00	2.000000000000000e+00
2.45127533434598e-06  	2.576700000000000e+02	257	1.439999999999998e+00	1.000000000000000e+00
2.48372667322345e-06  	2.590800000000000e+02	259	1.409999999999968e+00	2.000000000000000e+00
2.51566780434915e-06  	2.605000000000000e+02	260	1.420000000000016e+00	1.000000000000000e+00
2.54711436312194e-06  	2.619300000000000e+02	262	1.430000000000007e+00	2.000000000000000e+00
2.5780812794349e-06   	2.633300000000000e+02	263	1.399999999999977e+00	1.000000000000000e+00
2.60858281942255e-06  	2.647000000000000e+02	264	1.370000000000005e+00	1.000000000000000e+00
2.63863262416818e-06  	2.660900000000000e+02	266	1.389999999999986e+00	2.000000000000000e+00
2.66825275418821e-06  	2.675000000000000e+02	267	1.410000000000025e+00	1.000000000000000e+00
2.69746396284542e-06  	2.688500000000000e+02	268	1.350000000000023e+00	1.000000000000000e+00
2.72418074923673e-06  	2.701900000000000e+02	270	1.339999999999975e+00	2.000000000000000e+00
2.74892027600447e-06  	2.714800000000000e+02	271	1.290000000000020e+00	1.000000000000000e+00
2.77208080939909e-06  	2.727600000000000e+02	272	1.279999999999973e+00	1.000000000000000e+00
2.79395435702352e-06  	2.739700000000000e+02	274	1.210000000000036e+00	2.000000000000000e+00
2.81480060314039e-06  	2.751900000000000e+02	275	1.219999999999970e+00	1.000000000000000e+00
2.83471968479582e-06  	2.763800000000000e+02	276	1.189999999999998e+00	1.000000000000000e+00
2.85385424177007e-06  	2.775900000000000e+02	277	1.209999999999980e+00	1.000000000000000e+00
2.87230204764896e-06  	2.787700000000000e+02	278	1.180000000000007e+00	1.000000000000000e+00
2.89015968654441e-06  	2.799500000000000e+02	280	1.180000000000007e+00	2.000000000000000e+00
2.90751622636808e-06  	2.811100000000000e+02	281	1.160000000000025e+00	1.000000000000000e+00
2.9244312932276e-06   	2.823000000000000e+02	282	1.189999999999998e+00	1.000000000000000e+00
2.94096323612725e-06  	2.834900000000000e+02	283	1.189999999999998e+00	1.000000000000000e+00
2.95716133972603e-06  	2.846200000000000e+02	284	1.129999999999995e+00	1.000000000000000e+00
2.97307782958338e-06  	2.857300000000000e+02	285	1.110000000000014e+00	1.000000000000000e+00
2.98872733315925e-06  	2.868600000000000e+02	286	1.129999999999995e+00	1.000000000000000e+00
3.00396151542478e-06  	2.879900000000000e+02	288	1.129999999999995e+00	2.000000000000000e+00
3.01882680867912e-06  	2.891200000000000e+02	289	1.129999999999995e+00	1.000000000000000e+00
3.033360177957e-06    	2.902400000000000e+02	290	1.120000000000005e+00	1.000000000000000e+00
3.04759694786187e-06  	2.913600000000000e+02	291	1.120000000000005e+00	1.000000000000000e+00
3.06155697709904e-06  	2.924500000000000e+02	292	1.089999999999975e+00	1.000000000000000e+00
3.07527015336483e-06  	2.935300000000000e+02	293	1.079999999999984e+00	1.000000000000000e+00
3.08876190306509e-06  	2.946000000000000e+02	294	1.070000000000050e+00	1.000000000000000e+00
3.10205197960059e-06  	2.956900000000000e+02	295	1.089999999999975e+00	1.000000000000000e+00
3.11515692253005e-06  	2.967600000000000e+02	296	1.069999999999993e+00	1.000000000000000e+00
3.12809042180618e-06  	2.978200000000000e+02	297	1.060000000000002e+00	1.000000000000000e+00
3.14086698598162e-06  	2.988600000000000e+02	298	1.040000000000020e+00	1.000000000000000e+00
3.15350518183418e-06  	2.999300000000000e+02	300	1.069999999999993e+00	2.000000000000000e+00
3.16601764886495e-06  	3.010100000000000e+02	301	1.079999999999984e+00	1.000000000000000e+00
3.17842113065708e-06  	3.020800000000000e+02	302	1.069999999999993e+00	1.000000000000000e+00
3.19072843698342e-06  	3.031100000000000e+02	303	1.030000000000030e+00	1.000000000000000e+00
3.20295182985754e-06  	3.041700000000000e+02	304	1.060000000000002e+00	1.000000000000000e+00
3.21510157859234e-06  	3.052100000000000e+02	305	1.039999999999964e+00	1.000000000000000e+00
3.22716801649552e-06  	3.062500000000000e+02	306	1.040000000000020e+00	1.000000000000000e+00
3.2391270911351e-06   	3.072800000000000e+02	307	1.029999999999973e+00	1.000000000000000e+00
3.25098504124648e-06  	3.083100000000000e+02	308	1.030000000000030e+00	1.000000000000000e+00
3.26274640946418e-06  	3.093500000000000e+02	309	1.040000000000020e+00	1.000000000000000e+00
3.27441696726253e-06  	3.103600000000000e+02	310	1.009999999999991e+00	1.000000000000000e+00
3.28600364467421e-06  	3.114000000000000e+02	311	1.039999999999964e+00	1.000000000000000e+00
3.29751447499501e-06  	3.124200000000000e+02	312	1.020000000000039e+00	1.000000000000000e+00
3.30894638012859e-06  	3.134500000000000e+02	313	1.029999999999973e+00	1.000000000000000e+00
3.32030976638078e-06  	3.144700000000000e+02	314	1.020000000000039e+00	1.000000000000000e+00
3.33161336631456e-06  	3.154800000000000e+02	315	1.009999999999991e+00	1.000000000000000e+00
3.34286565203609e-06  	3.164900000000000e+02	316	1.009999999999991e+00	1.000000000000000e+00
