# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
3.8000187e-05  	-2.59919541e-03	3.63666355e-06
3.8000374e-05  	-2.59921985e-03	3.63669240e-06
3.800056e-05   	-2.59924057e-03	3.63672133e-06
3.8000747e-05  	-2.59926137e-03	3.63675031e-06
3.8000934e-05  	-2.59928225e-03	3.63677939e-06
3.8001121e-05  	-2.59930322e-03	3.63680857e-06
3.8001308e-05  	-2.59932428e-03	3.63683785e-06
3.8001495e-05  	-2.59934543e-03	3.63686724e-06
3.8001681e-05  	-2.59936668e-03	3.63689673e-06
3.8001868e-05  	-2.59938802e-03	3.63692634e-06
3.8002055e-05  	-2.59940945e-03	3.63695606e-06
3.8002242e-05  	-2.59943097e-03	3.63698589e-06
3.8002429e-05  	-2.59945258e-03	3.63701582e-06
3.8002615e-05  	-2.59947428e-03	3.63704585e-06
3.8002802e-05  	-2.59949609e-03	3.63707596e-06
3.8002989e-05  	-2.59951804e-03	3.63710617e-06
3.8003176e-05  	-2.59954009e-03	3.63713646e-06
3.8003363e-05  	-2.59956222e-03	3.63716685e-06
3.8003549e-05  	-2.59958436e-03	3.63719731e-06
3.8003736e-05  	-2.59960657e-03	3.63722785e-06
3.8003923e-05  	-2.59962885e-03	3.63725845e-06
3.800411e-05   	-2.59965120e-03	3.63728909e-06
3.8004297e-05  	-2.59967361e-03	3.63731977e-06
3.8004483e-05  	-2.59969609e-03	3.63735050e-06
3.800467e-05   	-2.59971864e-03	3.63738127e-06
3.8004857e-05  	-2.59974125e-03	3.63741210e-06
3.8005044e-05  	-2.59976394e-03	3.63744297e-06
3.800523e-05   	-2.59978669e-03	3.63747390e-06
3.8005417e-05  	-2.59980950e-03	3.63750488e-06
3.8005604e-05  	-2.59983238e-03	3.63753592e-06
3.8005791e-05  	-2.59985534e-03	3.63756702e-06
3.8005978e-05  	-2.59987836e-03	3.63759816e-06
3.8006164e-05  	-2.59990145e-03	3.63762937e-06
3.8006351e-05  	-2.59992462e-03	3.63766061e-06
3.8006538e-05  	-2.59994785e-03	3.63769190e-06
3.8006725e-05  	-2.59997115e-03	3.63772322e-06
3.8006911e-05  	-2.59999452e-03	3.63775460e-06
3.8007098e-05  	-2.60001795e-03	3.63778599e-06
3.8007285e-05  	-2.60004145e-03	3.63781744e-06
3.8007472e-05  	-2.60006502e-03	3.63784889e-06
3.8007658e-05  	-2.60008865e-03	3.63788040e-06
3.8007845e-05  	-2.60011235e-03	3.63791190e-06
3.8008032e-05  	-2.60013611e-03	3.63794348e-06
3.8008219e-05  	-2.60015995e-03	3.63797502e-06
3.8008405e-05  	-2.60018386e-03	3.63800667e-06
3.8008592e-05  	-2.60020784e-03	3.63803824e-06
3.8008779e-05  	-2.60023190e-03	3.63806999e-06
3.8008966e-05  	-2.60025603e-03	3.63810160e-06
3.8009152e-05  	-2.60028025e-03	3.63813349e-06
3.8009339e-05  	-2.60030453e-03	3.63816512e-06
3.8009526e-05  	-2.60032889e-03	3.63819717e-06
3.8009713e-05  	-2.60035332e-03	3.63822874e-06
3.8009899e-05  	-2.60037782e-03	3.63826098e-06
3.8010086e-05  	-2.60040239e-03	3.63829249e-06
3.8010273e-05  	-2.60042704e-03	3.63832488e-06
3.801046e-05   	-2.60045174e-03	3.63835645e-06
3.8010646e-05  	-2.60047653e-03	3.63838891e-06
3.8010833e-05  	-2.60050136e-03	3.63842058e-06
3.801102e-05   	-2.60052629e-03	3.63845315e-06
3.8011206e-05  	-2.60055126e-03	3.63848497e-06
3.8011393e-05  	-2.60057637e-03	3.63851767e-06
3.801158e-05   	-2.60060168e-03	3.63854966e-06
3.8011767e-05  	-2.60062706e-03	3.63858249e-06
