# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
1.41761068005734e-07  	5.064000000000000e+02	506	1.776999999999998e+01	1.800000000000000e+01
1.7021881634771e-07   	5.243300000000000e+02	524	1.793000000000006e+01	1.800000000000000e+01
2.04360328380423e-07  	5.423300000000000e+02	542	1.800000000000000e+01	1.800000000000000e+01
2.45327339739873e-07  	5.606300000000000e+02	560	1.829999999999995e+01	1.800000000000000e+01
2.94467572577439e-07  	5.789700000000000e+02	579	1.834000000000003e+01	1.900000000000000e+01
3.53430040009386e-07  	5.975599999999999e+02	597	1.858999999999992e+01	1.800000000000000e+01
4.24151523302496e-07  	6.093000000000000e+02	609	1.174000000000001e+01	1.200000000000000e+01
5.07828706896359e-07  	6.172200000000000e+02	617	7.920000000000073e+00	8.000000000000000e+00
6.02583155746934e-07  	6.254000000000000e+02	625	8.179999999999950e+00	8.000000000000000e+00
6.98526608299302e-07  	6.333600000000000e+02	633	7.960000000000036e+00	8.000000000000000e+00
7.83472265606146e-07  	6.407500000000000e+02	641	7.389999999999986e+00	8.000000000000000e+00
8.60803931805985e-07  	6.478200000000001e+02	648	7.070000000000050e+00	7.000000000000000e+00
9.32436298907281e-07  	6.545599999999999e+02	654	6.739999999999895e+00	6.000000000000000e+00
9.99600748874124e-07  	6.610700000000001e+02	661	6.510000000000105e+00	7.000000000000000e+00
1.06314400898396e-06  	6.673700000000000e+02	667	6.299999999999955e+00	6.000000000000000e+00
1.12369288045949e-06  	6.735000000000000e+02	673	6.129999999999995e+00	6.000000000000000e+00
1.18175295510397e-06  	6.794800000000000e+02	679	5.980000000000018e+00	6.000000000000000e+00
1.23770892738307e-06  	6.854200000000000e+02	685	5.939999999999941e+00	6.000000000000000e+00
1.29182525125848e-06  	6.912800000000000e+02	691	5.860000000000014e+00	6.000000000000000e+00
1.34432959952908e-06  	6.970400000000000e+02	697	5.759999999999991e+00	6.000000000000000e+00
1.39544652719772e-06  	7.027600000000000e+02	703	5.720000000000027e+00	6.000000000000000e+00
1.4452971609049e-06   	7.083900000000000e+02	708	5.629999999999995e+00	5.000000000000000e+00
1.49403835914382e-06  	7.139800000000000e+02	714	5.590000000000032e+00	6.000000000000000e+00
1.54178724990526e-06  	7.195000000000000e+02	719	5.519999999999982e+00	5.000000000000000e+00
1.5886275033544e-06   	7.251000000000000e+02	725	5.600000000000023e+00	6.000000000000000e+00
1.63465714437248e-06  	7.307300000000000e+02	731	5.629999999999995e+00	6.000000000000000e+00
1.67990339223615e-06  	7.363900000000000e+02	736	5.659999999999968e+00	5.000000000000000e+00
1.72441226349363e-06  	7.418900000000000e+02	742	5.500000000000000e+00	6.000000000000000e+00
1.76822661379969e-06  	7.473500000000000e+02	747	5.460000000000036e+00	5.000000000000000e+00
1.81134855119487e-06  	7.526600000000000e+02	752	5.309999999999945e+00	5.000000000000000e+00
