# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
4.6000212e-05  	-2.26279283e-03	3.16719149e-06
4.6000425e-05  	-2.26291270e-03	3.16724979e-06
4.6000637e-05  	-2.26294130e-03	3.16730720e-06
4.6000849e-05  	-2.26298175e-03	3.16736484e-06
4.6001062e-05  	-2.26302078e-03	3.16742172e-06
4.6001274e-05  	-2.26306019e-03	3.16747902e-06
4.6001486e-05  	-2.26309970e-03	3.16753577e-06
4.6001699e-05  	-2.26313953e-03	3.16759349e-06
4.6001911e-05  	-2.26317956e-03	3.16765093e-06
4.6002123e-05  	-2.26321981e-03	3.16770903e-06
4.6002335e-05  	-2.26326027e-03	3.16776694e-06
4.6002548e-05  	-2.26330098e-03	3.16782564e-06
4.600276e-05   	-2.26334191e-03	3.16788428e-06
4.6002972e-05  	-2.26338309e-03	3.16794369e-06
4.6003185e-05  	-2.26342447e-03	3.16800306e-06
4.6003397e-05  	-2.26346607e-03	3.16806315e-06
4.6003609e-05  	-2.26350783e-03	3.16812321e-06
4.6003821e-05  	-2.26354976e-03	3.16818388e-06
4.6004034e-05  	-2.26359180e-03	3.16824445e-06
4.6004246e-05  	-2.26363393e-03	3.16830545e-06
4.6004458e-05  	-2.26367612e-03	3.16836626e-06
4.600467e-05   	-2.26371835e-03	3.16842731e-06
4.6004882e-05  	-2.26376060e-03	3.16848809e-06
4.6005095e-05  	-2.26380284e-03	3.16854898e-06
4.6005307e-05  	-2.26384507e-03	3.16860951e-06
4.6005519e-05  	-2.26388727e-03	3.16866999e-06
4.6005731e-05  	-2.26392943e-03	3.16873008e-06
4.6005943e-05  	-2.26397155e-03	3.16879009e-06
4.6006156e-05  	-2.26401362e-03	3.16884975e-06
4.6006368e-05  	-2.26405564e-03	3.16890927e-06
4.600658e-05   	-2.26409764e-03	3.16896846e-06
4.6006792e-05  	-2.26413956e-03	3.16902750e-06
4.6007004e-05  	-2.26418146e-03	3.16908623e-06
4.6007216e-05  	-2.26422330e-03	3.16914476e-06
4.6007428e-05  	-2.26426510e-03	3.16920297e-06
4.6007641e-05  	-2.26430687e-03	3.16926096e-06
4.6007853e-05  	-2.26434889e-03	3.16931871e-06
4.6008065e-05  	-2.26439169e-03	3.16937633e-06
4.6008277e-05  	-2.26443462e-03	3.16943376e-06
4.6008489e-05  	-2.26447727e-03	3.16949102e-06
4.6008701e-05  	-2.26451994e-03	3.16954807e-06
4.6008913e-05  	-2.26456251e-03	3.16960496e-06
4.6009125e-05  	-2.26460519e-03	3.16966165e-06
4.6009337e-05  	-2.26464774e-03	3.16971817e-06
4.6009549e-05  	-2.26469012e-03	3.16977454e-06
4.6009761e-05  	-2.26473244e-03	3.16983079e-06
4.6009973e-05  	-2.26477475e-03	3.16988692e-06
4.6010185e-05  	-2.26481704e-03	3.16994294e-06
4.6010397e-05  	-2.26485926e-03	3.16999887e-06
4.601061e-05   	-2.26490168e-03	3.17005472e-06
4.6010822e-05  	-2.26494481e-03	3.17011053e-06
4.6011034e-05  	-2.26498798e-03	3.17016629e-06
4.6011246e-05  	-2.26503097e-03	3.17022197e-06
4.6011458e-05  	-2.26507387e-03	3.17027758e-06
4.601167e-05   	-2.26511672e-03	3.17033309e-06
4.6011882e-05  	-2.26515951e-03	3.17038850e-06
4.6012094e-05  	-2.26520220e-03	3.17044384e-06
4.6012306e-05  	-2.26524481e-03	3.17049907e-06
4.6012518e-05  	-2.26528735e-03	3.17055424e-06
4.6012729e-05  	-2.26532985e-03	3.17060936e-06
4.6012941e-05  	-2.26537225e-03	3.17066443e-06
4.6013153e-05  	-2.26541463e-03	3.17071946e-06
4.6013365e-05  	-2.26545690e-03	3.17077448e-06
4.6013577e-05  	-2.26549915e-03	3.17082947e-06
4.6013789e-05  	-2.26554131e-03	3.17088449e-06
4.6014001e-05  	-2.26558340e-03	3.17093947e-06
4.6014213e-05  	-2.26562541e-03	3.17099447e-06
4.6014425e-05  	-2.26566740e-03	3.17104946e-06
4.6014637e-05  	-2.26570930e-03	3.17110447e-06
4.6014849e-05  	-2.26575113e-03	3.17115948e-06
4.6015061e-05  	-2.26579292e-03	3.17121449e-06
4.6015273e-05  	-2.26583463e-03	3.17126950e-06
4.6015485e-05  	-2.26587632e-03	3.17132451e-06
4.6015697e-05  	-2.26591793e-03	3.17137953e-06
4.6015908e-05  	-2.26595954e-03	3.17143456e-06
4.601612e-05   	-2.26600109e-03	3.17148964e-06
4.6016332e-05  	-2.26604262e-03	3.17154478e-06
4.6016544e-05  	-2.26608414e-03	3.17159997e-06
4.6016756e-05  	-2.26612562e-03	3.17165522e-06
4.6016968e-05  	-2.26616712e-03	3.17171055e-06
4.601718e-05   	-2.26620858e-03	3.17176597e-06
4.6017391e-05  	-2.26625008e-03	3.17182146e-06
4.6017603e-05  	-2.26629157e-03	3.17187706e-06
4.6017815e-05  	-2.26633308e-03	3.17193274e-06
4.6018027e-05  	-2.26637461e-03	3.17198853e-06
4.6018239e-05  	-2.26641604e-03	3.17204442e-06
4.6018451e-05  	-2.26645751e-03	3.17210037e-06
4.6018662e-05  	-2.26649912e-03	3.17215640e-06
4.6018874e-05  	-2.26654065e-03	3.17221253e-06
4.6019086e-05  	-2.26658208e-03	3.17226877e-06
4.6019298e-05  	-2.26662370e-03	3.17232511e-06
4.601951e-05   	-2.26666533e-03	3.17238156e-06
4.6019721e-05  	-2.26670703e-03	3.17243814e-06
4.6019933e-05  	-2.26674879e-03	3.17249487e-06
4.6020145e-05  	-2.26679063e-03	3.17255173e-06
4.6020357e-05  	-2.26683251e-03	3.17260874e-06
4.6020569e-05  	-2.26687449e-03	3.17266590e-06
4.602078e-05   	-2.26691652e-03	3.17272320e-06
4.6020992e-05  	-2.26695866e-03	3.17278065e-06
4.6021204e-05  	-2.26700083e-03	3.17283824e-06
4.6021416e-05  	-2.26704308e-03	3.17289594e-06
4.6021627e-05  	-2.26708547e-03	3.17295378e-06
4.6021839e-05  	-2.26712805e-03	3.17301191e-06
4.6022051e-05  	-2.26717072e-03	3.17307029e-06
