# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
1.4000175e-05  	-2.83890747e-03	3.96702285e-06
1.400035e-05   	-2.83910410e-03	3.96729846e-06
1.4000524e-05  	-2.83929620e-03	3.96757334e-06
1.4000699e-05  	-2.83948801e-03	3.96784761e-06
1.4000874e-05  	-2.83967954e-03	3.96812131e-06
1.4001049e-05  	-2.83987080e-03	3.96839448e-06
1.4001223e-05  	-2.84006178e-03	3.96866712e-06
1.4001398e-05  	-2.84025248e-03	3.96893927e-06
1.4001573e-05  	-2.84044292e-03	3.96921092e-06
1.4001747e-05  	-2.84063318e-03	3.96948208e-06
1.4001922e-05  	-2.84082307e-03	3.96975272e-06
1.4002096e-05  	-2.84101262e-03	3.97002289e-06
1.4002271e-05  	-2.84120199e-03	3.97029260e-06
1.4002446e-05  	-2.84139112e-03	3.97056186e-06
1.400262e-05   	-2.84157994e-03	3.97083064e-06
1.4002795e-05  	-2.84176833e-03	3.97109895e-06
1.4002969e-05  	-2.84195640e-03	3.97136679e-06
1.4003144e-05  	-2.84214431e-03	3.97163418e-06
1.4003318e-05  	-2.84233193e-03	3.97190111e-06
1.4003493e-05  	-2.84251922e-03	3.97216755e-06
1.4003667e-05  	-2.84270614e-03	3.97243353e-06
1.4003841e-05  	-2.84289273e-03	3.97269903e-06
1.4004016e-05  	-2.84307901e-03	3.97296408e-06
1.400419e-05   	-2.84326493e-03	3.97322863e-06
1.4004365e-05  	-2.84345052e-03	3.97349270e-06
1.4004539e-05  	-2.84363579e-03	3.97375630e-06
1.4004713e-05  	-2.84382076e-03	3.97401944e-06
1.4004887e-05  	-2.84400539e-03	3.97428213e-06
1.4005062e-05  	-2.84418965e-03	3.97454436e-06
1.4005236e-05  	-2.84437364e-03	3.97480617e-06
1.400541e-05   	-2.84455731e-03	3.97506757e-06
1.4005585e-05  	-2.84474067e-03	3.97532856e-06
1.4005759e-05  	-2.84492375e-03	3.97558911e-06
1.4005933e-05  	-2.84510651e-03	3.97584926e-06
1.4006107e-05  	-2.84528897e-03	3.97610900e-06
1.4006281e-05  	-2.84547115e-03	3.97636833e-06
1.4006455e-05  	-2.84565303e-03	3.97662727e-06
1.4006629e-05  	-2.84583463e-03	3.97688583e-06
1.4006804e-05  	-2.84601600e-03	3.97714405e-06
1.4006978e-05  	-2.84619712e-03	3.97740192e-06
1.4007152e-05  	-2.84637796e-03	3.97765945e-06
1.4007326e-05  	-2.84655859e-03	3.97791663e-06
1.40075e-05    	-2.84673892e-03	3.97817343e-06
1.4007674e-05  	-2.84691931e-03	3.97842988e-06
1.4007848e-05  	-2.84709910e-03	3.97868596e-06
1.4008022e-05  	-2.84727878e-03	3.97894164e-06
1.4008196e-05  	-2.84745803e-03	3.97919692e-06
1.400837e-05   	-2.84763681e-03	3.97945176e-06
1.4008544e-05  	-2.84781525e-03	3.97970618e-06
1.4008717e-05  	-2.84799370e-03	3.97996018e-06
1.4008891e-05  	-2.84817172e-03	3.98021377e-06
1.4009065e-05  	-2.84834933e-03	3.98046695e-06
1.4009239e-05  	-2.84852645e-03	3.98071971e-06
1.4009413e-05  	-2.84870329e-03	3.98097206e-06
1.4009587e-05  	-2.84887991e-03	3.98122405e-06
1.400976e-05   	-2.84905629e-03	3.98147565e-06
1.4009934e-05  	-2.84923238e-03	3.98172691e-06
1.4010108e-05  	-2.84940822e-03	3.98197781e-06
1.4010282e-05  	-2.84958377e-03	3.98222833e-06
1.4010455e-05  	-2.84975902e-03	3.98247852e-06
1.4010629e-05  	-2.84993413e-03	3.98272838e-06
1.4010803e-05  	-2.85010894e-03	3.98297779e-06
1.4010976e-05  	-2.85028349e-03	3.98322686e-06
1.401115e-05   	-2.85045779e-03	3.98347559e-06
1.4011324e-05  	-2.85063180e-03	3.98372397e-06
1.4011497e-05  	-2.85080550e-03	3.98397200e-06
1.4011671e-05  	-2.85097893e-03	3.98421966e-06
1.4011844e-05  	-2.85115210e-03	3.98446691e-06
1.4012018e-05  	-2.85132500e-03	3.98471375e-06
1.4012192e-05  	-2.85149763e-03	3.98496029e-06
1.4012365e-05  	-2.85167006e-03	3.98520650e-06
1.4012539e-05  	-2.85184219e-03	3.98545238e-06
1.4012712e-05  	-2.85201412e-03	3.98569798e-06
1.4012886e-05  	-2.85218581e-03	3.98594328e-06
1.4013059e-05  	-2.85235730e-03	3.98618831e-06
1.4013232e-05  	-2.85252856e-03	3.98643303e-06
1.4013406e-05  	-2.85269961e-03	3.98667744e-06
1.4013579e-05  	-2.85287042e-03	3.98692154e-06
1.4013753e-05  	-2.85304102e-03	3.98716528e-06
1.4013926e-05  	-2.85321136e-03	3.98740871e-06
1.4014099e-05  	-2.85338148e-03	3.98765182e-06
1.4014273e-05  	-2.85355131e-03	3.98789454e-06
1.4014446e-05  	-2.85372085e-03	3.98813687e-06
1.4014619e-05  	-2.85389011e-03	3.98837880e-06
1.4014793e-05  	-2.85405908e-03	3.98862032e-06
1.4014966e-05  	-2.85422770e-03	3.98886138e-06
1.4015139e-05  	-2.85439601e-03	3.98910202e-06
1.4015312e-05  	-2.85456403e-03	3.98934220e-06
1.4015486e-05  	-2.85473176e-03	3.98958195e-06
1.4015659e-05  	-2.85489917e-03	3.98982129e-06
1.4015832e-05  	-2.85506630e-03	3.99006022e-06
1.4016005e-05  	-2.85523318e-03	3.99029876e-06
1.4016178e-05  	-2.85539982e-03	3.99053692e-06
1.4016351e-05  	-2.85556621e-03	3.99077472e-06
1.4016525e-05  	-2.85573232e-03	3.99101213e-06
1.4016698e-05  	-2.85589819e-03	3.99124915e-06
1.4016871e-05  	-2.85606376e-03	3.99148578e-06
1.4017044e-05  	-2.85622907e-03	3.99172197e-06
1.4017217e-05  	-2.85639407e-03	3.99195778e-06
1.401739e-05   	-2.85655879e-03	3.99219318e-06
1.4017563e-05  	-2.85672321e-03	3.99242819e-06
1.4017736e-05  	-2.85688735e-03	3.99266279e-06
1.4017909e-05  	-2.85705117e-03	3.99289696e-06
1.4018082e-05  	-2.85721474e-03	3.99313075e-06
1.4018255e-05  	-2.85737799e-03	3.99336413e-06
1.4018428e-05  	-2.85754090e-03	3.99359704e-06
1.40186e-05    	-2.85770346e-03	3.99382946e-06
1.4018773e-05  	-2.85786568e-03	3.99406142e-06
1.4018946e-05  	-2.85802762e-03	3.99429294e-06
1.4019119e-05  	-2.85818924e-03	3.99452403e-06
1.4019292e-05  	-2.85835058e-03	3.99475468e-06
1.4019465e-05  	-2.85851160e-03	3.99498491e-06
1.4019637e-05  	-2.85867236e-03	3.99521473e-06
1.401981e-05   	-2.85883283e-03	3.99544415e-06
1.4019983e-05  	-2.85899306e-03	3.99567319e-06
1.4020156e-05  	-2.85915302e-03	3.99590184e-06
1.4020328e-05  	-2.85931276e-03	3.99613011e-06
1.4020501e-05  	-2.85947218e-03	3.99635796e-06
1.4020674e-05  	-2.85963131e-03	3.99658541e-06
1.4020846e-05  	-2.85979016e-03	3.99681244e-06
1.4021019e-05  	-2.85994874e-03	3.99703906e-06
1.4021192e-05  	-2.86010701e-03	3.99726526e-06
1.4021364e-05  	-2.86026501e-03	3.99749105e-06
1.4021537e-05  	-2.86042273e-03	3.99771647e-06
1.4021709e-05  	-2.86058023e-03	3.99794151e-06
1.4021882e-05  	-2.86073741e-03	3.99816616e-06
1.4022054e-05  	-2.86089437e-03	3.99839042e-06
1.4022227e-05  	-2.86105107e-03	3.99861433e-06
1.4022399e-05  	-2.86120752e-03	3.99883787e-06
