# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
4.2000186e-05  	-2.62936743e-03	3.67893479e-06
4.2000373e-05  	-2.62944752e-03	3.67893634e-06
4.200056e-05   	-2.62947828e-03	3.67894221e-06
4.2000746e-05  	-2.62951529e-03	3.67895014e-06
4.2000933e-05  	-2.62955097e-03	3.67895791e-06
4.2001119e-05  	-2.62958495e-03	3.67896402e-06
4.2001306e-05  	-2.62961711e-03	3.67896764e-06
4.2001493e-05  	-2.62964692e-03	3.67896828e-06
4.2001679e-05  	-2.62967424e-03	3.67896612e-06
4.2001866e-05  	-2.62969887e-03	3.67896141e-06
4.2002052e-05  	-2.62972123e-03	3.67895421e-06
4.2002239e-05  	-2.62974168e-03	3.67894481e-06
4.2002426e-05  	-2.62976089e-03	3.67893394e-06
4.2002612e-05  	-2.62977923e-03	3.67892236e-06
4.2002799e-05  	-2.62979774e-03	3.67891071e-06
4.2002985e-05  	-2.62981660e-03	3.67889961e-06
4.2003172e-05  	-2.62983638e-03	3.67888949e-06
4.2003359e-05  	-2.62985759e-03	3.67888143e-06
4.2003545e-05  	-2.62988012e-03	3.67887634e-06
4.2003732e-05  	-2.62990424e-03	3.67887483e-06
4.2003918e-05  	-2.62992968e-03	3.67887577e-06
4.2004105e-05  	-2.62995657e-03	3.67887878e-06
4.2004292e-05  	-2.62998465e-03	3.67888373e-06
4.2004478e-05  	-2.63001386e-03	3.67889025e-06
4.2004665e-05  	-2.63004385e-03	3.67889795e-06
4.2004851e-05  	-2.63007445e-03	3.67890638e-06
4.2005038e-05  	-2.63010469e-03	3.67891509e-06
4.2005224e-05  	-2.63013441e-03	3.67892398e-06
4.2005411e-05  	-2.63016357e-03	3.67893269e-06
4.2005597e-05  	-2.63019194e-03	3.67894107e-06
4.2005784e-05  	-2.63021950e-03	3.67894901e-06
4.2005971e-05  	-2.63024626e-03	3.67895642e-06
4.2006157e-05  	-2.63027240e-03	3.67896352e-06
