# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
3.0000211e-05  	-2.38767654e-03	3.33756317e-06
3.0000423e-05  	-2.38794345e-03	3.33793118e-06
3.0000634e-05  	-2.38820635e-03	3.33829885e-06
3.0000846e-05  	-2.38846903e-03	3.33866617e-06
3.0001057e-05  	-2.38873152e-03	3.33903318e-06
3.0001269e-05  	-2.38899474e-03	3.33939989e-06
3.000148e-05   	-2.38925591e-03	3.33976634e-06
3.0001691e-05  	-2.38951765e-03	3.34013249e-06
3.0001903e-05  	-2.38977920e-03	3.34049833e-06
3.0002114e-05  	-2.39004054e-03	3.34086389e-06
3.0002325e-05  	-2.39030169e-03	3.34122919e-06
3.0002537e-05  	-2.39056267e-03	3.34159423e-06
3.0002748e-05  	-2.39082444e-03	3.34195897e-06
3.0002959e-05  	-2.39108559e-03	3.34232345e-06
3.0003171e-05  	-2.39134642e-03	3.34268763e-06
3.0003382e-05  	-2.39160642e-03	3.34305149e-06
3.0003593e-05  	-2.39186618e-03	3.34341503e-06
3.0003804e-05  	-2.39212572e-03	3.34377829e-06
3.0004015e-05  	-2.39238499e-03	3.34414124e-06
3.0004227e-05  	-2.39264556e-03	3.34450392e-06
3.0004438e-05  	-2.39290533e-03	3.34486636e-06
3.0004649e-05  	-2.39316447e-03	3.34522864e-06
3.000486e-05   	-2.39342297e-03	3.34559069e-06
3.0005071e-05  	-2.39368153e-03	3.34595259e-06
3.0005282e-05  	-2.39394163e-03	3.34631437e-06
3.0005493e-05  	-2.39420010e-03	3.34667600e-06
3.0005704e-05  	-2.39445801e-03	3.34703747e-06
3.0005915e-05  	-2.39471594e-03	3.34739879e-06
3.0006126e-05  	-2.39497318e-03	3.34775992e-06
3.0006337e-05  	-2.39523212e-03	3.34812096e-06
3.0006548e-05  	-2.39549004e-03	3.34848183e-06
3.0006759e-05  	-2.39574665e-03	3.34884251e-06
3.000697e-05   	-2.39600335e-03	3.34920299e-06
