0 	58.4867
2.50453e-06 	59.8127
5.00907e-06 	59.301
7.83628e-06 	59.7793
1.06635e-05 	59.2475
1.3855e-05 	59.6818
1.70464e-05 	59.1132
2.06491e-05 	59.4945
2.42517e-05 	58.8823
2.83185e-05 	59.2087
3.23853e-05 	58.5504
3.69761e-05 	58.8262
4.15668e-05 	58.1233
4.6749e-05 	58.3589
5.19313e-05 	57.6178
5.77812e-05 	57.8211
6.36311e-05 	57.0537
7.02346e-05 	57.2258
7.68382e-05 	56.4452
8.42926e-05 	56.5811
9.17469e-05 	55.7841
0.000100162 	55.8696
0.000108576 	55.0363
0.000118075 	55.0526
0.000127574 	54.1781
0.000138297 	54.1006
0.00014902 	53.1762
0.000161124 	52.9801
0.000173228 	51.9591
0.000186892 	51.6401
0.000200556 	50.5077
0.00021598 	50.0776
0.000231404 	48.8525
0.000248815 	48.3029
0.000266227 	46.9667
0.000285881 	46.2705
0.000305536 	44.797
0.000327723 	44.0077
0.000349909 	42.4285
0.000374955 	41.6678
0.0004 	40.0805
0.000425 	39.457
0.00045 	37.9805
0.000475 	37.4863
0.0005 	36.1093
0.000525 	35.7422
0.00055 	34.4378
0.000575 	34.191
0.0006 	32.9275
0.000625 	32.7845
0.00065 	31.5346
0.000675 	31.5011
0.0007 	30.2772
0.000725 	30.3668
0.00075 	29.192
0.000775 	29.3808
0.0008 	28.2438
0.000825 	28.473
0.00085 	27.3461
0.000875 	27.5941
0.0009 	26.4726
0.000925 	26.7326
0.00095 	25.6075
0.000975 	25.8739
0.001 	24.7309
0.001025 	24.9853
0.00105 	23.8154
0.001075 	24.0355
0.0011 	22.8217
0.001125 	23.0124
0.00115 	21.741
0.001175 	21.8951
0.0012 	20.5756
0.001225 	20.6913
0.00125 	19.3419
0.001275 	19.4301
0.0013 	18.0571
0.001325 	18.1168
0.00135 	16.7186
0.001375 	16.7318
0.0014 	15.3023
0.001425 	15.2637
0.00145 	13.8066
0.001475 	13.7328
0.0015 	12.2502
0.001525 	12.1548
0.00155 	10.6426
0.001575 	10.5356
0.0016 	8.99768
0.001625 	8.88073
0.00165 	7.30697
0.001675 	7.17399
0.0017 	5.54782
0.001725 	5.39482
0.00175 	3.71227
0.001775 	3.53735
0.0018 	1.80045
0.001825 	1.60677
0.00185 	-0.17599
0.001875 	-0.390092
0.0019 	-2.22226
0.001925 	-2.46595
0.00195 	-4.36083
0.001975 	-4.63741
0.002 	-6.59881
0.002025 	-6.91805
0.00205 	-8.94334
0.002075 	-9.31706
0.0021 	-11.3912
0.002125 	-11.8193
0.00215 	-13.9295
0.002175 	-14.4102
0.0022 	-16.5595
0.002225 	-17.094
0.00225 	-19.3016
0.002275 	-19.9051
0.0023 	-22.2165
0.002325 	-22.9214
0.00235 	-25.4033
0.002375 	-26.2423
0.0024 	-28.9585
0.002425 	-29.9489
0.00245 	-32.9148
0.002475 	-34.0311
0.0025 	-37.1636
0.002525 	-38.3272
0.00255 	-41.4339
0.002575 	-42.533
0.0026 	-45.3752
0.002625 	-46.3308
0.00265 	-48.777
0.002675 	-49.5366
0.0027 	-51.5831
0.002725 	-52.0603
0.00275 	-53.4527
0.002775 	-53.5992
0.0028 	-54.1676
0.002825 	-54.0675
0.00285 	-54.0193
0.002875 	-53.7547
0.0029 	-53.4008
0.002925 	-53.1612
0.00295 	-52.8402
0.002975 	-52.7023
0.003 	-52.4764
0.003025 	-52.3823
0.00305 	-52.2797
0.003075 	-52.2351
0.0031 	-52.2605
0.003125 	-52.244
0.00315 	-52.3121
0.003175 	-52.3085
0.0032 	-52.4058
0.003225 	-52.3944
0.00325 	-52.4967
0.003275 	-52.4877
0.0033 	-52.5864
0.003325 	-52.5884
0.00335 	-52.6759
0.003375 	-52.6748
0.0034 	-52.7498
0.003425 	-52.7452
0.00345 	-52.8111
0.003475 	-52.8097
0.0035 	-52.8603
0.003525 	-52.8486
0.00355 	-52.8777
0.003575 	-52.8699
0.0036 	-52.8825
0.00362505 	-52.8737
0.00365009 	-52.8672
0.00367228 	-52.8424
0.00369446 	-52.8232
0.00371412 	-52.7938
0.00373377 	-52.7757
0.00375118 	-52.7507
0.0037686 	-52.7427
0.00378402 	-52.7187
0.00379944 	-52.7196
0.00381311 	-52.6942
0.00382677 	-52.6976
0.00383888 	-52.6683
0.00385098 	-52.6724
0.0038617 	-52.645
0.00387243 	-52.6541
0.00388192 	-52.6276
0.00389142 	-52.6382
0.00389984 	-52.6125
0.00390825 	-52.621
0.00391571 	-52.5955
0.00392316 	-52.6031
0.00392977 	-52.5776
0.00393637 	-52.5851
0.00394222 	-52.5604
0.00394807 	-52.5679
0.00395325 	-52.5449
0.00395843 	-52.5527
0.00396302 	-52.5315
0.00396761 	-52.5397
0.00397168 	-52.5203
0.00397575 	-52.5292
0.00397935 	-52.5121
0.00398295 	-52.5223
0.00398615 	-52.5073
0.00398934 	-52.519
0.00399216 	-52.5054
0.00399499 	-52.5183
0.0039975 	-52.5052
0.004 	-52.5185
