# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
3.4000217e-05  	-2.20667625e-03	3.09011739e-06
3.4000434e-05  	-2.20660862e-03	3.09001787e-06
3.4000651e-05  	-2.20653767e-03	3.08991849e-06
3.4000868e-05  	-2.20646694e-03	3.08981932e-06
3.4001085e-05  	-2.20639642e-03	3.08972036e-06
3.4001302e-05  	-2.20632621e-03	3.08962161e-06
3.4001519e-05  	-2.20625619e-03	3.08952312e-06
3.4001736e-05  	-2.20618633e-03	3.08942488e-06
3.4001953e-05  	-2.20611667e-03	3.08932692e-06
3.400217e-05   	-2.20604723e-03	3.08922923e-06
3.4002387e-05  	-2.20597798e-03	3.08913180e-06
3.4002604e-05  	-2.20590892e-03	3.08903460e-06
3.4002821e-05  	-2.20584003e-03	3.08893764e-06
3.4003038e-05  	-2.20577133e-03	3.08884092e-06
3.4003255e-05  	-2.20570281e-03	3.08874443e-06
3.4003472e-05  	-2.20563447e-03	3.08864819e-06
3.400369e-05   	-2.20556632e-03	3.08855219e-06
3.4003907e-05  	-2.20549836e-03	3.08845643e-06
3.4004124e-05  	-2.20543056e-03	3.08836091e-06
3.4004341e-05  	-2.20536296e-03	3.08826563e-06
3.4004558e-05  	-2.20529554e-03	3.08817060e-06
3.4004776e-05  	-2.20522831e-03	3.08807583e-06
3.4004993e-05  	-2.20516127e-03	3.08798130e-06
3.400521e-05   	-2.20509443e-03	3.08788704e-06
3.4005427e-05  	-2.20502776e-03	3.08779302e-06
3.4005645e-05  	-2.20496128e-03	3.08769924e-06
3.4005862e-05  	-2.20489496e-03	3.08760569e-06
3.4006079e-05  	-2.20482882e-03	3.08751238e-06
3.4006297e-05  	-2.20476286e-03	3.08741931e-06
3.4006514e-05  	-2.20469707e-03	3.08732648e-06
3.4006732e-05  	-2.20463150e-03	3.08723388e-06
3.4006949e-05  	-2.20456624e-03	3.08714152e-06
3.4007166e-05  	-2.20450125e-03	3.08704940e-06
3.4007384e-05  	-2.20443635e-03	3.08695747e-06
3.4007601e-05  	-2.20437166e-03	3.08686587e-06
3.4007819e-05  	-2.20430719e-03	3.08677461e-06
3.4008036e-05  	-2.20424287e-03	3.08668360e-06
3.4008254e-05  	-2.20417872e-03	3.08659297e-06
3.4008471e-05  	-2.20411472e-03	3.08650247e-06
3.4008689e-05  	-2.20405089e-03	3.08641233e-06
3.4008907e-05  	-2.20398720e-03	3.08632236e-06
3.4009124e-05  	-2.20392368e-03	3.08623270e-06
3.4009342e-05  	-2.20386032e-03	3.08614325e-06
3.4009559e-05  	-2.20379713e-03	3.08605407e-06
3.4009777e-05  	-2.20373410e-03	3.08596514e-06
3.4009995e-05  	-2.20367125e-03	3.08587646e-06
3.4010212e-05  	-2.20360857e-03	3.08578804e-06
3.401043e-05   	-2.20354608e-03	3.08569987e-06
3.4010648e-05  	-2.20348377e-03	3.08561195e-06
3.4010866e-05  	-2.20342166e-03	3.08552431e-06
3.4011083e-05  	-2.20335973e-03	3.08543692e-06
3.4011301e-05  	-2.20329799e-03	3.08534979e-06
3.4011519e-05  	-2.20323644e-03	3.08526291e-06
3.4011737e-05  	-2.20317508e-03	3.08517629e-06
3.4011954e-05  	-2.20311389e-03	3.08508991e-06
3.4012172e-05  	-2.20305287e-03	3.08500377e-06
3.401239e-05   	-2.20299205e-03	3.08491788e-06
3.4012608e-05  	-2.20293140e-03	3.08483223e-06
3.4012826e-05  	-2.20287092e-03	3.08474682e-06
3.4013044e-05  	-2.20281063e-03	3.08466165e-06
3.4013262e-05  	-2.20275050e-03	3.08457671e-06
3.401348e-05   	-2.20269055e-03	3.08449201e-06
3.4013698e-05  	-2.20263078e-03	3.08440755e-06
3.4013916e-05  	-2.20257118e-03	3.08432333e-06
3.4014134e-05  	-2.20251176e-03	3.08423934e-06
3.4014352e-05  	-2.20245250e-03	3.08415558e-06
3.401457e-05   	-2.20239342e-03	3.08407206e-06
3.4014788e-05  	-2.20233452e-03	3.08398878e-06
3.4015006e-05  	-2.20227578e-03	3.08390574e-06
3.4015224e-05  	-2.20221721e-03	3.08382297e-06
3.4015442e-05  	-2.20215882e-03	3.08374045e-06
3.401566e-05   	-2.20210060e-03	3.08365815e-06
3.4015878e-05  	-2.20204254e-03	3.08357610e-06
3.4016096e-05  	-2.20198467e-03	3.08349429e-06
3.4016314e-05  	-2.20192699e-03	3.08341273e-06
3.4016533e-05  	-2.20186948e-03	3.08333141e-06
3.4016751e-05  	-2.20181214e-03	3.08325034e-06
3.4016969e-05  	-2.20175498e-03	3.08316953e-06
3.4017187e-05  	-2.20169803e-03	3.08308909e-06
3.4017405e-05  	-2.20164127e-03	3.08300894e-06
3.4017624e-05  	-2.20158470e-03	3.08292905e-06
3.4017842e-05  	-2.20152829e-03	3.08284941e-06
3.401806e-05   	-2.20147206e-03	3.08277001e-06
3.4018279e-05  	-2.20141600e-03	3.08269086e-06
3.4018497e-05  	-2.20136011e-03	3.08261194e-06
3.4018715e-05  	-2.20130438e-03	3.08253326e-06
3.4018934e-05  	-2.20124880e-03	3.08245481e-06
3.4019152e-05  	-2.20119339e-03	3.08237659e-06
3.401937e-05   	-2.20113815e-03	3.08229860e-06
