# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	1.200000000000000e-01	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	5.430000000000000e+00	5	5.310000000000000e+00	5.000000000000000e+00
2.63999616000445e-10  	1.063000000000000e+01	10	5.200000000000001e+00	5.000000000000000e+00
4.36799071335788e-10  	1.576000000000000e+01	15	5.129999999999999e+00	5.000000000000000e+00
6.4415820274799e-10   	2.087000000000000e+01	21	5.110000000000001e+00	6.000000000000000e+00
8.92988954051989e-10  	2.466000000000000e+01	24	3.789999999999999e+00	3.000000000000000e+00
1.19158555841406e-09  	2.982000000000000e+01	30	5.160000000000000e+00	6.000000000000000e+00
1.54990019973483e-09  	3.500000000000000e+01	35	5.180000000000000e+00	5.000000000000000e+00
1.97987715304205e-09  	4.017000000000000e+01	40	5.170000000000002e+00	5.000000000000000e+00
2.49584683469715e-09  	4.525000000000000e+01	45	5.079999999999998e+00	5.000000000000000e+00
3.11500725792346e-09  	5.040000000000000e+01	50	5.149999999999999e+00	5.000000000000000e+00
3.85799792561604e-09  	5.560000000000000e+01	55	5.200000000000003e+00	5.000000000000000e+00
4.74957877730543e-09  	6.066000000000000e+01	60	5.059999999999995e+00	5.000000000000000e+00
5.81947007569327e-09  	6.579000000000001e+01	65	5.130000000000010e+00	5.000000000000000e+00
7.10332314980061e-09  	7.103000000000000e+01	71	5.239999999999995e+00	6.000000000000000e+00
8.6439270582337e-09   	7.620999999999999e+01	76	5.179999999999993e+00	5.000000000000000e+00
1.04926403548289e-08  	8.134000000000000e+01	81	5.130000000000010e+00	5.000000000000000e+00
1.27110799039868e-08  	8.650000000000000e+01	86	5.159999999999997e+00	5.000000000000000e+00
1.53731482990905e-08  	9.173999999999999e+01	91	5.239999999999995e+00	5.000000000000000e+00
1.85675453231065e-08  	9.700000000000000e+01	97	5.260000000000005e+00	6.000000000000000e+00
2.24007482696493e-08  	1.022100000000000e+02	102	5.209999999999994e+00	5.000000000000000e+00
2.70003801822243e-08  	1.074500000000000e+02	107	5.240000000000009e+00	5.000000000000000e+00
3.25197861127614e-08  	1.126800000000000e+02	112	5.230000000000004e+00	5.000000000000000e+00
3.91427806943095e-08  	1.179800000000000e+02	118	5.299999999999997e+00	6.000000000000000e+00
4.7090058259845e-08   	1.233500000000000e+02	123	5.369999999999990e+00	5.000000000000000e+00
5.66266396873558e-08  	1.288300000000000e+02	129	5.480000000000018e+00	6.000000000000000e+00
6.8069663887071e-08   	1.342700000000000e+02	134	5.439999999999998e+00	5.000000000000000e+00
8.18003495611728e-08  	1.398200000000000e+02	140	5.549999999999983e+00	6.000000000000000e+00
9.8274908448302e-08   	1.454000000000000e+02	145	5.580000000000013e+00	5.000000000000000e+00
1.18041771347303e-07  	1.509800000000000e+02	151	5.579999999999984e+00	6.000000000000000e+00
1.41761068005734e-07  	1.566400000000000e+02	156	5.659999999999997e+00	5.000000000000000e+00
1.7021881634771e-07   	1.623700000000000e+02	162	5.730000000000018e+00	6.000000000000000e+00
2.04360328380423e-07  	1.681900000000000e+02	168	5.819999999999993e+00	6.000000000000000e+00
2.45327339739873e-07  	1.740000000000000e+02	174	5.810000000000002e+00	6.000000000000000e+00
2.94467572577439e-07  	1.798500000000000e+02	180	5.849999999999994e+00	6.000000000000000e+00
3.53430040009386e-07  	1.859400000000000e+02	186	6.090000000000003e+00	6.000000000000000e+00
4.24151523302496e-07  	1.897000000000000e+02	189	3.759999999999991e+00	3.000000000000000e+00
5.07828706896359e-07  	1.921900000000000e+02	192	2.490000000000009e+00	3.000000000000000e+00
6.02583155746934e-07  	1.948300000000000e+02	195	2.640000000000015e+00	3.000000000000000e+00
6.98526608299302e-07  	1.974000000000000e+02	197	2.569999999999993e+00	2.000000000000000e+00
7.83472265606146e-07  	1.997400000000000e+02	199	2.340000000000003e+00	2.000000000000000e+00
8.60803931805985e-07  	2.019000000000000e+02	202	2.159999999999997e+00	3.000000000000000e+00
9.32436298907281e-07  	2.039900000000000e+02	204	2.090000000000003e+00	2.000000000000000e+00
9.99555244504228e-07  	2.059600000000000e+02	206	1.969999999999999e+00	2.000000000000000e+00
1.06309853382098e-06  	2.078800000000000e+02	208	1.919999999999987e+00	2.000000000000000e+00
1.12364743312708e-06  	2.098200000000000e+02	210	1.939999999999998e+00	2.000000000000000e+00
1.18170753445819e-06  	2.117100000000000e+02	211	1.890000000000015e+00	1.000000000000000e+00
1.2376635324568e-06   	2.135700000000000e+02	213	1.859999999999985e+00	2.000000000000000e+00
1.29177988120614e-06  	2.154500000000000e+02	215	1.879999999999995e+00	2.000000000000000e+00
1.34428425360975e-06  	2.172700000000000e+02	217	1.820000000000022e+00	2.000000000000000e+00
1.39540120477368e-06  	2.190200000000000e+02	219	1.750000000000000e+00	2.000000000000000e+00
1.44525186139412e-06  	2.208000000000000e+02	220	1.780000000000001e+00	1.000000000000000e+00
1.49399308203636e-06  	2.225100000000000e+02	222	1.709999999999980e+00	2.000000000000000e+00
1.54174199474502e-06  	2.242000000000000e+02	224	1.689999999999998e+00	2.000000000000000e+00
1.58858226972373e-06  	2.258600000000000e+02	226	1.660000000000025e+00	2.000000000000000e+00
1.63461193189879e-06  	2.275100000000000e+02	227	1.649999999999977e+00	1.000000000000000e+00
1.67985820055937e-06  	2.291600000000000e+02	229	1.650000000000006e+00	2.000000000000000e+00
1.72438725028738e-06  	2.307800000000000e+02	230	1.620000000000005e+00	1.000000000000000e+00
1.76820161174512e-06  	2.324100000000000e+02	232	1.629999999999995e+00	2.000000000000000e+00
1.81132356011573e-06  	2.340400000000000e+02	234	1.629999999999995e+00	2.000000000000000e+00
1.85381108778336e-06  	2.356400000000000e+02	235	1.599999999999994e+00	1.000000000000000e+00
1.89566447324699e-06  	2.372200000000000e+02	237	1.580000000000013e+00	2.000000000000000e+00
1.93690210902957e-06  	2.387800000000000e+02	238	1.560000000000002e+00	1.000000000000000e+00
1.97752476764223e-06  	2.403500000000000e+02	240	1.569999999999993e+00	2.000000000000000e+00
2.01755027814952e-06  	2.419200000000000e+02	242	1.569999999999993e+00	2.000000000000000e+00
2.05697983538166e-06  	2.434500000000000e+02	243	1.530000000000001e+00	1.000000000000000e+00
2.09579989886347e-06  	2.450000000000000e+02	245	1.550000000000011e+00	2.000000000000000e+00
2.13401387236118e-06  	2.465100000000000e+02	246	1.509999999999991e+00	1.000000000000000e+00
2.17161125466147e-06  	2.480500000000000e+02	248	1.540000000000020e+00	2.000000000000000e+00
2.20861140169072e-06  	2.497400000000000e+02	249	1.689999999999998e+00	1.000000000000000e+00
2.24500566614859e-06  	2.512300000000000e+02	251	1.489999999999981e+00	2.000000000000000e+00
2.28081335638077e-06  	2.527400000000000e+02	252	1.510000000000019e+00	1.000000000000000e+00
2.31604017204177e-06  	2.543200000000000e+02	254	1.579999999999984e+00	2.000000000000000e+00
