# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	9.000000000000000e-02	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	2.680000000000000e+00	2	2.590000000000000e+00	2.000000000000000e+00
2.63999616000445e-10  	5.260000000000000e+00	5	2.580000000000000e+00	3.000000000000000e+00
4.36799071335788e-10  	7.880000000000000e+00	8	2.620000000000000e+00	3.000000000000000e+00
6.4415820274799e-10   	1.047000000000000e+01	10	2.590000000000001e+00	2.000000000000000e+00
8.92988954051989e-10  	1.237000000000000e+01	12	1.899999999999999e+00	2.000000000000000e+00
1.19158555841406e-09  	1.496000000000000e+01	15	2.590000000000002e+00	3.000000000000000e+00
1.54990019973483e-09  	1.760000000000000e+01	17	2.640000000000001e+00	2.000000000000000e+00
1.97987715304205e-09  	2.023000000000000e+01	20	2.629999999999999e+00	3.000000000000000e+00
2.49584683469715e-09  	2.285000000000000e+01	22	2.620000000000001e+00	2.000000000000000e+00
3.11500725792346e-09  	2.561000000000000e+01	25	2.759999999999998e+00	3.000000000000000e+00
3.85799792561604e-09  	2.827000000000000e+01	28	2.660000000000000e+00	3.000000000000000e+00
4.74957877730543e-09  	3.090000000000000e+01	31	2.629999999999999e+00	3.000000000000000e+00
5.81947007569327e-09  	3.357000000000000e+01	33	2.670000000000002e+00	2.000000000000000e+00
7.10332314980061e-09  	3.627000000000000e+01	36	2.700000000000003e+00	3.000000000000000e+00
8.6439270582337e-09   	3.823000000000000e+01	38	1.959999999999994e+00	2.000000000000000e+00
1.04926403548289e-08  	4.097000000000000e+01	41	2.740000000000002e+00	3.000000000000000e+00
1.27110799039868e-08  	4.374000000000000e+01	43	2.770000000000003e+00	2.000000000000000e+00
1.53731482990905e-08  	4.662000000000000e+01	46	2.879999999999995e+00	3.000000000000000e+00
1.85675453231065e-08  	4.959000000000000e+01	49	2.970000000000006e+00	3.000000000000000e+00
2.24007482696493e-08  	5.257000000000000e+01	52	2.979999999999997e+00	3.000000000000000e+00
2.70003801822243e-08  	5.570000000000000e+01	55	3.130000000000003e+00	3.000000000000000e+00
3.25197861127614e-08  	5.898000000000000e+01	59	3.279999999999994e+00	4.000000000000000e+00
3.91427806943095e-08  	6.226000000000000e+01	62	3.280000000000001e+00	3.000000000000000e+00
4.7090058259845e-08   	6.563000000000000e+01	65	3.369999999999997e+00	3.000000000000000e+00
5.66266396873558e-08  	6.902000000000000e+01	69	3.390000000000001e+00	4.000000000000000e+00
6.8069663887071e-08   	7.256999999999999e+01	72	3.549999999999997e+00	3.000000000000000e+00
8.18003495611728e-08  	7.623999999999999e+01	76	3.670000000000002e+00	4.000000000000000e+00
9.8274908448302e-08   	8.008000000000000e+01	80	3.840000000000003e+00	4.000000000000000e+00
1.18041771347303e-07  	8.408000000000000e+01	84	4.000000000000000e+00	4.000000000000000e+00
1.41761068005734e-07  	8.826000000000001e+01	88	4.180000000000007e+00	4.000000000000000e+00
1.7021881634771e-07   	9.253000000000000e+01	92	4.269999999999996e+00	4.000000000000000e+00
2.04360328380423e-07  	9.692000000000000e+01	97	4.390000000000001e+00	5.000000000000000e+00
2.45327339739873e-07  	1.015300000000000e+02	101	4.609999999999999e+00	4.000000000000000e+00
2.94467572577439e-07  	1.063000000000000e+02	106	4.769999999999996e+00	5.000000000000000e+00
3.53430040009386e-07  	1.112900000000000e+02	111	4.990000000000009e+00	5.000000000000000e+00
4.24151523302496e-07  	1.149200000000000e+02	115	3.629999999999995e+00	4.000000000000000e+00
5.07828706896359e-07  	1.166700000000000e+02	116	1.750000000000000e+00	1.000000000000000e+00
6.02583155746934e-07  	1.185500000000000e+02	118	1.879999999999995e+00	2.000000000000000e+00
6.98526608299302e-07  	1.203600000000000e+02	120	1.810000000000002e+00	2.000000000000000e+00
7.8354499305247e-07   	1.219400000000000e+02	122	1.579999999999998e+00	2.000000000000000e+00
8.60876602566849e-07  	1.233600000000000e+02	123	1.420000000000002e+00	1.000000000000000e+00
9.3250891716037e-07   	1.247600000000000e+02	124	1.400000000000006e+00	1.000000000000000e+00
9.99673317894498e-07  	1.260800000000000e+02	126	1.319999999999993e+00	2.000000000000000e+00
1.06321653142602e-06  	1.274100000000000e+02	127	1.329999999999998e+00	1.000000000000000e+00
1.12380243679563e-06  	1.286700000000000e+02	128	1.259999999999991e+00	1.000000000000000e+00
1.18189655992324e-06  	1.298600000000000e+02	130	1.190000000000026e+00	2.000000000000000e+00
1.23785245088592e-06  	1.310300000000000e+02	131	1.169999999999987e+00	1.000000000000000e+00
