# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
1.49418151014318e-06  	1.371100000000000e+02	137	1.130000000000024e+00	1.000000000000000e+00
1.5419303315149e-06   	1.381800000000000e+02	138	1.069999999999993e+00	1.000000000000000e+00
1.58879281112865e-06  	1.392700000000000e+02	139	1.090000000000003e+00	1.000000000000000e+00
1.63482237482784e-06  	1.403400000000000e+02	140	1.069999999999993e+00	1.000000000000000e+00
1.68008936867283e-06  	1.414000000000000e+02	141	1.060000000000002e+00	1.000000000000000e+00
1.72461831370514e-06  	1.424600000000000e+02	142	1.060000000000002e+00	1.000000000000000e+00
1.76843257214753e-06  	1.435000000000000e+02	143	1.039999999999992e+00	1.000000000000000e+00
1.81157335714e-06     	1.445300000000000e+02	144	1.030000000000001e+00	1.000000000000000e+00
1.85406077671718e-06  	1.455500000000000e+02	145	1.020000000000010e+00	1.000000000000000e+00
1.89591405570365e-06  	1.465700000000000e+02	146	1.019999999999982e+00	1.000000000000000e+00
1.93715158657557e-06  	1.476100000000000e+02	147	1.040000000000020e+00	1.000000000000000e+00
1.97777414184211e-06  	1.486600000000000e+02	148	1.049999999999983e+00	1.000000000000000e+00
2.01779955052245e-06  	1.496700000000000e+02	149	1.009999999999991e+00	1.000000000000000e+00
2.05722900744377e-06  	1.506700000000000e+02	150	1.000000000000000e+00	1.000000000000000e+00
2.09604897216536e-06  	1.516600000000000e+02	151	9.900000000000091e-01	1.000000000000000e+00
2.13426284844476e-06  	1.526800000000000e+02	152	1.020000000000010e+00	1.000000000000000e+00
2.17186013509538e-06  	1.536600000000000e+02	153	9.799999999999898e-01	1.000000000000000e+00
2.20886018799436e-06  	1.546300000000000e+02	154	9.699999999999989e-01	1.000000000000000e+00
2.24526790944336e-06  	1.555900000000000e+02	155	9.600000000000080e-01	1.000000000000000e+00
2.28107550361572e-06  	1.565400000000000e+02	156	9.499999999999886e-01	1.000000000000000e+00
2.3163022247752e-06   	1.575000000000000e+02	157	9.600000000000080e-01	1.000000000000000e+00
2.3509541218221e-06   	1.584600000000000e+02	158	9.600000000000080e-01	1.000000000000000e+00
2.3850375584288e-06   	1.594600000000000e+02	159	1.000000000000000e+00	1.000000000000000e+00
2.41855918014637e-06  	1.604100000000000e+02	160	9.499999999999886e-01	1.000000000000000e+00
2.45153702428961e-06  	1.613400000000000e+02	161	9.300000000000068e-01	1.000000000000000e+00
2.4839882761112e-06   	1.623000000000000e+02	162	9.600000000000080e-01	1.000000000000000e+00
2.51592932154975e-06  	1.631900000000000e+02	163	8.899999999999864e-01	1.000000000000000e+00
2.54736565520936e-06  	1.641000000000000e+02	164	9.099999999999966e-01	1.000000000000000e+00
2.57832265468357e-06  	1.649900000000000e+02	165	8.900000000000148e-01	1.000000000000000e+00
2.60882411909976e-06  	1.658700000000000e+02	165	8.799999999999955e-01	0.000000000000000e+00
2.63887384939315e-06  	1.667600000000000e+02	166	8.899999999999864e-01	1.000000000000000e+00
2.66849390602553e-06  	1.676300000000000e+02	167	8.700000000000045e-01	1.000000000000000e+00
2.69770504230823e-06  	1.685100000000000e+02	168	8.799999999999955e-01	1.000000000000000e+00
2.72442910024772e-06  	1.693600000000000e+02	169	8.500000000000227e-01	1.000000000000000e+00
2.74917485728149e-06  	1.701800000000000e+02	170	8.199999999999932e-01	1.000000000000000e+00
2.77233533004709e-06  	1.709900000000000e+02	171	8.100000000000023e-01	1.000000000000000e+00
2.79420882041153e-06  	1.717800000000000e+02	171	7.899999999999920e-01	0.000000000000000e+00
2.81505501195766e-06  	1.725700000000000e+02	172	7.899999999999920e-01	1.000000000000000e+00
2.83497404146945e-06  	1.734000000000000e+02	173	8.300000000000125e-01	1.000000000000000e+00
2.85410854835376e-06  	1.741600000000000e+02	174	7.599999999999909e-01	1.000000000000000e+00
2.87255280342337e-06  	1.749000000000000e+02	174	7.400000000000091e-01	0.000000000000000e+00
2.89041039621554e-06  	1.756300000000000e+02	175	7.299999999999898e-01	1.000000000000000e+00
2.90776378964009e-06  	1.763500000000000e+02	176	7.199999999999989e-01	1.000000000000000e+00
2.92467586701517e-06  	1.770800000000000e+02	177	7.300000000000182e-01	1.000000000000000e+00
2.94120495336507e-06  	1.777900000000000e+02	177	7.099999999999795e-01	0.000000000000000e+00
2.95740031379335e-06  	1.785000000000000e+02	178	7.100000000000080e-01	1.000000000000000e+00
2.97331415434537e-06  	1.792000000000000e+02	179	6.999999999999886e-01	1.000000000000000e+00
2.98896109610406e-06  	1.798900000000000e+02	179	6.899999999999977e-01	0.000000000000000e+00
3.00419284973946e-06  	1.805600000000000e+02	180	6.700000000000159e-01	1.000000000000000e+00
3.01905582968894e-06  	1.812500000000000e+02	181	6.899999999999977e-01	1.000000000000000e+00
3.03358698704139e-06  	1.819500000000000e+02	182	6.999999999999886e-01	1.000000000000000e+00
3.04782163369626e-06  	1.826400000000000e+02	182	6.899999999999977e-01	0.000000000000000e+00
3.0617796207919e-06   	1.833200000000000e+02	183	6.800000000000068e-01	1.000000000000000e+00
3.07549082593747e-06  	1.839900000000000e+02	184	6.700000000000159e-01	1.000000000000000e+00
3.08897878991939e-06  	1.846600000000000e+02	184	6.699999999999875e-01	0.000000000000000e+00
3.10226701441001e-06  	1.853400000000000e+02	185	6.800000000000068e-01	1.000000000000000e+00
3.11536838447296e-06  	1.860200000000000e+02	186	6.800000000000068e-01	1.000000000000000e+00
3.12829840337267e-06  	1.867200000000000e+02	186	6.999999999999886e-01	0.000000000000000e+00
3.14107325522506e-06  	1.874200000000000e+02	187	6.999999999999886e-01	1.000000000000000e+00
3.15370812696322e-06  	1.880600000000000e+02	188	6.400000000000148e-01	1.000000000000000e+00
3.16621895138811e-06  	1.887200000000000e+02	188	6.599999999999966e-01	0.000000000000000e+00
3.17861923068746e-06  	1.893800000000000e+02	189	6.599999999999966e-01	1.000000000000000e+00
3.19092338379069e-06  	1.900300000000000e+02	190	6.500000000000057e-01	1.000000000000000e+00
