# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
5.5698083e-07  	3.23411026e-19	-4.51546565e-22
5.6255233e-07  	3.44632380e-19	-4.83716788e-22
5.6812384e-07  	3.65215102e-19	-5.11625471e-22
5.7369534e-07  	3.89427336e-19	-5.40382575e-22
5.7926684e-07  	4.04519503e-19	-5.71604937e-22
5.8483834e-07  	4.27767899e-19	-5.96755550e-22
5.9040985e-07  	4.47203355e-19	-6.25142112e-22
5.9595941e-07  	4.66601511e-19	-6.56674181e-22
6.0150898e-07  	4.86705966e-19	-6.79664262e-22
6.0705855e-07  	5.03726403e-19	-7.02383757e-22
6.1260812e-07  	5.14626884e-19	-7.22451585e-22
6.1815768e-07  	5.23274715e-19	-7.30909759e-22
6.2368505e-07  	5.22724427e-19	-7.29834191e-22
6.2921242e-07  	5.09886706e-19	-7.11379326e-22
6.3473979e-07  	4.90490710e-19	-6.83126218e-22
6.4026716e-07  	4.68972777e-19	-6.59919433e-22
6.4577215e-07  	4.54630206e-19	-6.30600142e-22
6.5127714e-07  	4.29518000e-19	-6.01958602e-22
6.5678213e-07  	4.07707801e-19	-5.69814124e-22
6.6228713e-07  	3.83433841e-19	-5.38634714e-22
6.6779212e-07  	3.58078200e-19	-4.99789459e-22
6.7327445e-07  	3.32841194e-19	-4.66539669e-22
6.7875679e-07  	3.09550191e-19	-4.35206855e-22
6.8423913e-07  	2.84889455e-19	-3.96303877e-22
6.8972147e-07  	2.55817789e-19	-3.58405211e-22
6.9518096e-07  	2.25159649e-19	-3.16236144e-22
7.0064045e-07  	1.96723370e-19	-2.75863749e-22
7.0609995e-07  	1.64514472e-19	-2.29615971e-22
7.1155944e-07  	1.27700773e-19	-1.77121175e-22
7.169959e-07   	8.58195040e-20	-1.21404445e-22
7.2243236e-07  	4.81350825e-20	-6.88445953e-23
7.2786881e-07  	1.04037917e-20	-1.58444948e-23
7.3330527e-07  	-2.38593430e-20	3.55904866e-23
7.3874173e-07  	-6.27929156e-20	8.83792111e-23
7.4415486e-07  	-1.02903510e-19	1.47232192e-22
7.4956798e-07  	-1.54098510e-19	2.17371502e-22
7.5498111e-07  	-2.11119144e-19	2.98938692e-22
7.6039423e-07  	-2.68347988e-19	3.81337014e-22
7.6580736e-07  	-3.35229110e-19	4.73438238e-22
7.7119685e-07  	-3.97619409e-19	5.56261916e-22
7.7658633e-07  	-4.63234068e-19	6.52883180e-22
7.8197582e-07  	-5.39438514e-19	7.58713964e-22
7.8736531e-07  	-6.19121154e-19	8.69383427e-22
7.927548e-07   	-7.01904227e-19	9.88262034e-22
7.9814428e-07  	-7.88664673e-19	1.10594235e-21
8.0353377e-07  	-8.81096122e-19	1.23434212e-21
8.0889909e-07  	-9.77328343e-19	1.36966012e-21
8.1426441e-07  	-1.07178425e-18	1.50252212e-21
8.1962973e-07  	-1.17038259e-18	1.63907439e-21
8.2499505e-07  	-1.26952444e-18	1.77810627e-21
8.3036037e-07  	-1.36743457e-18	1.91094854e-21
8.3572569e-07  	-1.46159753e-18	2.04416907e-21
8.4109101e-07  	-1.54862230e-18	2.16590896e-21
8.4645633e-07  	-1.63222156e-18	2.28390827e-21
8.5182165e-07  	-1.71811737e-18	2.40545435e-21
8.5718697e-07  	-1.79809331e-18	2.51693384e-21
8.6255229e-07  	-1.87934295e-18	2.63041994e-21
8.6789242e-07  	-1.95593849e-18	2.73838574e-21
8.7323255e-07  	-2.03025571e-18	2.84484806e-21
8.7857268e-07  	-2.10176386e-18	2.93974161e-21
8.8391281e-07  	-2.16720012e-18	3.03398636e-21
8.8925294e-07  	-2.23242208e-18	3.12413196e-21
8.9459307e-07  	-2.29551542e-18	3.21648735e-21
8.999332e-07   	-2.36024904e-18	3.30448475e-21
9.0527333e-07  	-2.42131182e-18	3.39076787e-21
9.1061346e-07  	-2.48424652e-18	3.48054929e-21
9.1595359e-07  	-2.55413796e-18	3.57673513e-21
9.2129372e-07  	-2.62352096e-18	3.67616031e-21
9.2663385e-07  	-2.69645416e-18	3.77757037e-21
9.3197398e-07  	-2.77279548e-18	3.88520188e-21
9.3731411e-07  	-2.85471573e-18	4.00059107e-21
9.4265424e-07  	-2.93840048e-18	4.11789367e-21
9.4799437e-07  	-3.02996962e-18	4.24544510e-21
9.533345e-07   	-3.12486756e-18	4.37861678e-21
9.5867463e-07  	-3.22382353e-18	4.51668981e-21
9.6401476e-07  	-3.32408173e-18	4.65603071e-21
9.6935489e-07  	-3.42928777e-18	4.80420733e-21
9.7469502e-07  	-3.54053770e-18	4.95884337e-21
9.8003515e-07  	-3.64917886e-18	5.10995033e-21
9.8537528e-07  	-3.75818475e-18	5.25806547e-21
9.9071541e-07  	-3.85826125e-18	5.40311713e-21
9.9605554e-07  	-3.96105177e-18	5.54761400e-21
1.0013957e-06  	-4.06450468e-18	5.69103552e-21
1.0067358e-06  	-4.16603405e-18	5.83007308e-21
1.0120759e-06  	-4.26105025e-18	5.96458571e-21
1.0174161e-06  	-4.35219108e-18	6.09243728e-21
1.0227562e-06  	-4.43559628e-18	6.20922166e-21
1.0280963e-06  	-4.51156926e-18	6.31613458e-21
1.0334364e-06  	-4.58990634e-18	6.42764206e-21
1.0387766e-06  	-4.66800671e-18	6.53680890e-21
1.0441167e-06  	-4.75075413e-18	6.65276885e-21
1.0494568e-06  	-4.84344088e-18	6.78695051e-21
1.0548271e-06  	-4.95019460e-18	6.93745173e-21
1.0601974e-06  	-5.06931764e-18	7.10576119e-21
1.0655677e-06  	-5.20424784e-18	7.29484736e-21
1.070938e-06   	-5.35049450e-18	7.49542799e-21
1.0763083e-06  	-5.50657535e-18	7.71396691e-21
1.0816786e-06  	-5.66826611e-18	7.93935467e-21
1.0870489e-06  	-5.83324376e-18	8.16853472e-21
1.0924192e-06  	-6.00671309e-18	8.41368442e-21
1.0977895e-06  	-6.17533481e-18	8.64688732e-21
1.1031598e-06  	-6.33804087e-18	8.87280645e-21
1.1085301e-06  	-6.49721915e-18	9.09295825e-21
1.1139004e-06  	-6.64502802e-18	9.30100501e-21
1.1192707e-06  	-6.78569487e-18	9.49769233e-21
1.124641e-06   	-6.91079130e-18	9.67074183e-21
1.1300113e-06  	-7.02322422e-18	9.83024840e-21
1.1353816e-06  	-7.11425097e-18	9.95119378e-21
1.1407519e-06  	-7.18354233e-18	1.00500433e-20
1.146156e-06   	-7.23079410e-18	1.01151174e-20
1.1515601e-06  	-7.25764472e-18	1.01561407e-20
1.1569642e-06  	-7.29555001e-18	1.02234308e-20
1.1623682e-06  	-7.36865459e-18	1.03286813e-20
1.1677723e-06  	-7.49933419e-18	1.05115362e-20
1.1731764e-06  	-7.67667670e-18	1.07481484e-20
1.1785805e-06  	-7.85129397e-18	1.09798247e-20
1.1839846e-06  	-8.01960175e-18	1.12104125e-20
1.1893886e-06  	-8.19193371e-18	1.14445145e-20
1.1947927e-06  	-8.36999360e-18	1.16939611e-20
1.2001252e-06  	-8.50191761e-18	1.19362831e-20
1.2049729e-06  	-8.76329013e-18	1.23003370e-20
1.2094394e-06  	-9.05667880e-18	1.26923750e-20
1.2136002e-06  	-9.32017451e-18	1.30525649e-20
1.2174933e-06  	-9.55668017e-18	1.33813169e-20
1.221167e-06   	-9.77860729e-18	1.36924731e-20
1.2246596e-06  	-9.98912529e-18	1.39883871e-20
1.227973e-06   	-1.01978364e-17	1.42847137e-20
1.23115e-06    	-1.04119966e-17	1.45850300e-20
1.234201e-06   	-1.06316441e-17	1.48934813e-20
1.2371351e-06  	-1.08605666e-17	1.52156787e-20
1.2399711e-06  	-1.10969643e-17	1.55469142e-20
1.2427248e-06  	-1.13422290e-17	1.58882229e-20
1.2454007e-06  	-1.15970046e-17	1.62477306e-20
1.2480117e-06  	-1.18608584e-17	1.66163889e-20
1.2505608e-06  	-1.21369931e-17	1.70020079e-20
1.2530507e-06  	-1.24229894e-17	1.74033058e-20
1.2554917e-06  	-1.27184779e-17	1.78156807e-20
1.2578856e-06  	-1.30233887e-17	1.82425465e-20
1.2602341e-06  	-1.33346457e-17	1.86772934e-20
1.2625458e-06  	-1.36497842e-17	1.91179123e-20
1.2648149e-06  	-1.39683458e-17	1.95632991e-20
1.2670495e-06  	-1.42885915e-17	2.00095174e-20
1.2692506e-06  	-1.46083998e-17	2.04577927e-20
1.2714254e-06  	-1.49269217e-17	2.09022340e-20
1.2735683e-06  	-1.52410992e-17	2.13418438e-20
1.2756862e-06  	-1.55492898e-17	2.17732493e-20
1.2777796e-06  	-1.58541585e-17	2.21996992e-20
1.279849e-06   	-1.61510652e-17	2.26150119e-20
1.2819007e-06  	-1.64424861e-17	2.30228764e-20
1.2839292e-06  	-1.67254789e-17	2.34190136e-20
1.2859406e-06  	-1.70013333e-17	2.38055254e-20
1.2879297e-06  	-1.72699075e-17	2.41805209e-20
1.2899022e-06  	-1.75303707e-17	2.45454887e-20
1.2918584e-06  	-1.77856233e-17	2.49031156e-20
1.2937985e-06  	-1.80350767e-17	2.52525233e-20
1.295728e-06   	-1.82803104e-17	2.55962212e-20
1.2976418e-06  	-1.85201031e-17	2.59316086e-20
1.2995452e-06  	-1.87548701e-17	2.62604560e-20
1.3014332e-06  	-1.89857920e-17	2.65844766e-20
1.3033111e-06  	-1.92129966e-17	2.69023194e-20
1.3051789e-06  	-1.94352940e-17	2.72131327e-20
1.3070367e-06  	-1.96528989e-17	2.75180173e-20
1.3088895e-06  	-1.98668535e-17	2.78176826e-20
1.3107325e-06  	-2.00761941e-17	2.81113658e-20
1.3125705e-06  	-2.02844321e-17	2.84027398e-20
1.3143988e-06  	-2.04872246e-17	2.86866862e-20
1.3162222e-06  	-2.06896230e-17	2.89705666e-20
1.3180408e-06  	-2.08911860e-17	2.92528936e-20
1.3198545e-06  	-2.10923170e-17	2.95345703e-20
1.3216634e-06  	-2.12932070e-17	2.98161803e-20
1.3234675e-06  	-2.14967671e-17	3.01020680e-20
1.3252668e-06  	-2.17042538e-17	3.03939607e-20
1.327066e-06   	-2.19208332e-17	3.06981991e-20
1.3288605e-06  	-2.21457219e-17	3.10140041e-20
1.3306502e-06  	-2.23833281e-17	3.13476838e-20
1.3324399e-06  	-2.26345002e-17	3.17008574e-20
1.3342296e-06  	-2.29040390e-17	3.20787040e-20
1.3360146e-06  	-2.31909051e-17	3.24825336e-20
1.3377995e-06  	-2.35033805e-17	3.29212868e-20
1.3395844e-06  	-2.38399395e-17	3.33942287e-20
1.3413693e-06  	-2.42062067e-17	3.39083194e-20
1.3431542e-06  	-2.46047787e-17	3.44679827e-20
1.3449391e-06  	-2.50384385e-17	3.50758831e-20
1.346724e-06   	-2.55092189e-17	3.57367101e-20
1.3485089e-06  	-2.60201911e-17	3.64537904e-20
1.3502938e-06  	-2.65734226e-17	3.72292593e-20
1.3520787e-06  	-2.71704009e-17	3.80664142e-20
1.3538636e-06  	-2.78143737e-17	3.89688845e-20
1.3556485e-06  	-2.85051418e-17	3.99370459e-20
1.3574334e-06  	-2.92446619e-17	4.09724175e-20
1.3592233e-06  	-3.00332572e-17	4.20768091e-20
1.3610132e-06  	-3.08674103e-17	4.32447199e-20
1.3628031e-06  	-3.17487855e-17	4.44788374e-20
1.364593e-06   	-3.26745059e-17	4.57739277e-20
1.3663828e-06  	-3.36437131e-17	4.71301127e-20
1.3681727e-06  	-3.46520347e-17	4.85414531e-20
1.3699575e-06  	-3.56951687e-17	5.00009705e-20
1.3717424e-06  	-3.67741817e-17	5.15104641e-20
1.3735272e-06  	-3.78853222e-17	5.30645105e-20
1.375312e-06   	-3.90245817e-17	5.46582363e-20
1.3770968e-06  	-4.01895688e-17	5.62881577e-20
1.3788817e-06  	-4.13777974e-17	5.79507659e-20
1.3806665e-06  	-4.25859100e-17	5.96413616e-20
1.3824513e-06  	-4.38119339e-17	6.13571641e-20
1.3842413e-06  	-4.50574908e-17	6.31011040e-20
1.3860313e-06  	-4.63173784e-17	6.48641740e-20
1.3878213e-06  	-4.75910356e-17	6.66468928e-20
1.3896113e-06  	-4.88761079e-17	6.84455895e-20
1.3914013e-06  	-5.01735408e-17	7.02618770e-20
1.3931913e-06  	-5.14822112e-17	7.20945262e-20
1.3949813e-06  	-5.28031174e-17	7.39442831e-20
1.3967713e-06  	-5.41367309e-17	7.58118705e-20
1.3985666e-06  	-5.54863955e-17	7.77020568e-20
1.4003619e-06  	-5.68500449e-17	7.96109928e-20
1.4021572e-06  	-5.82250084e-17	8.15363222e-20
1.4039526e-06  	-5.96140919e-17	8.34820362e-20
1.4057533e-06  	-6.10218415e-17	8.54539966e-20
1.4075541e-06  	-6.24448629e-17	8.74453015e-20
1.4093603e-06  	-6.38856821e-17	8.94638975e-20
1.4111665e-06  	-6.53414734e-17	9.15013850e-20
1.4129728e-06  	-6.68103537e-17	9.35580934e-20
1.4147846e-06  	-6.82956301e-17	9.56374730e-20
1.4165964e-06  	-6.97935743e-17	9.77332316e-20
1.4184139e-06  	-7.13035088e-17	9.98481396e-20
1.420237e-06   	-7.28257805e-17	1.01978386e-19
1.4220602e-06  	-7.43543351e-17	1.04117042e-19
1.4238891e-06  	-7.58895813e-17	1.06266250e-19
1.4257238e-06  	-7.74324728e-17	1.08425564e-19
1.4275586e-06  	-7.89729983e-17	1.10581064e-19
1.4293992e-06  	-8.05140987e-17	1.12739170e-19
1.4312458e-06  	-8.20561401e-17	1.14897927e-19
1.4330985e-06  	-8.35952262e-17	1.17053037e-19
1.4349571e-06  	-8.51309357e-17	1.19202201e-19
1.436822e-06   	-8.66630469e-17	1.21346946e-19
1.438693e-06   	-8.81903179e-17	1.23485867e-19
1.4405703e-06  	-8.97132067e-17	1.25617869e-19
1.4424539e-06  	-9.12311882e-17	1.27743369e-19
1.4443439e-06  	-9.27430792e-17	1.29860566e-19
1.4462403e-06  	-9.42502946e-17	1.31970406e-19
1.4481498e-06  	-9.57564579e-17	1.34079291e-19
1.450066e-06   	-9.72577474e-17	1.36181304e-19
1.4519888e-06  	-9.87523556e-17	1.38274227e-19
1.4539252e-06  	-1.00247638e-16	1.40367790e-19
1.4558686e-06  	-1.01734601e-16	1.42449314e-19
1.4578189e-06  	-1.03216522e-16	1.44525838e-19
1.4597833e-06  	-1.04702486e-16	1.46608148e-19
1.4617549e-06  	-1.06187990e-16	1.48688945e-19
1.463741e-06   	-1.07683578e-16	1.50784970e-19
1.4657346e-06  	-1.09189584e-16	1.52894706e-19
1.4677431e-06  	-1.10717049e-16	1.55038136e-19
1.4697669e-06  	-1.12277137e-16	1.57226001e-19
1.4717984e-06  	-1.13870941e-16	1.59461690e-19
1.4738457e-06  	-1.15514578e-16	1.61766356e-19
1.4758772e-06  	-1.17189868e-16	1.64115023e-19
1.477855e-06   	-1.18867379e-16	1.66465796e-19
1.4797889e-06  	-1.20556894e-16	1.68833129e-19
1.4816806e-06  	-1.22259205e-16	1.71216788e-19
1.4835317e-06  	-1.23974009e-16	1.73617772e-19
1.4853439e-06  	-1.25700797e-16	1.76035824e-19
1.4871185e-06  	-1.27439325e-16	1.78469639e-19
1.488863e-06   	-1.29195513e-16	1.80928239e-19
1.4905725e-06  	-1.30962417e-16	1.83401558e-19
1.4922538e-06  	-1.32739390e-16	1.85888266e-19
1.4939077e-06  	-1.34527879e-16	1.88390705e-19
1.495535e-06   	-1.36317522e-16	1.90892748e-19
1.4971365e-06  	-1.38099030e-16	1.93382545e-19
1.4987129e-06  	-1.39859706e-16	1.95842122e-19
1.5002696e-06  	-1.41594772e-16	1.98266413e-19
1.5018073e-06  	-1.43290882e-16	2.00636046e-19
1.5033262e-06  	-1.44938447e-16	2.02939399e-19
1.5048312e-06  	-1.46537632e-16	2.05175729e-19
1.5063227e-06  	-1.48086844e-16	2.07344689e-19
1.5077964e-06  	-1.49586728e-16	2.09446068e-19
1.5092483e-06  	-1.51040237e-16	2.11483869e-19
1.5106708e-06  	-1.52446188e-16	2.13455982e-19
1.5120649e-06  	-1.53815194e-16	2.15376818e-19
1.5134355e-06  	-1.55160281e-16	2.17262840e-19
1.5147833e-06  	-1.56487962e-16	2.19125141e-19
1.516109e-06   	-1.57808229e-16	2.20977176e-19
1.5174168e-06  	-1.59129403e-16	2.22830664e-19
1.5187072e-06  	-1.60460207e-16	2.24696827e-19
1.5199838e-06  	-1.61808161e-16	2.26587116e-19
1.521247e-06   	-1.63179834e-16	2.28510857e-19
1.522497e-06   	-1.64582537e-16	2.30476783e-19
1.5237341e-06  	-1.66014606e-16	2.32483533e-19
1.5249616e-06  	-1.67484234e-16	2.34542841e-19
1.5261765e-06  	-1.68990569e-16	2.36651745e-19
1.5273821e-06  	-1.70532714e-16	2.38810826e-19
1.5285786e-06  	-1.72107591e-16	2.41014006e-19
1.5297631e-06  	-1.73705102e-16	2.43248624e-19
1.5309387e-06  	-1.75321136e-16	2.45507281e-19
1.5321055e-06  	-1.76946049e-16	2.47778587e-19
1.5332637e-06  	-1.78571086e-16	2.50050379e-19
1.5344105e-06  	-1.80184705e-16	2.52306149e-19
1.5355488e-06  	-1.81784530e-16	2.54545295e-19
1.5366789e-06  	-1.83373390e-16	2.56770538e-19
1.5378007e-06  	-1.84957539e-16	2.58992391e-19
1.5389144e-06  	-1.86551738e-16	2.61231601e-19
1.5400202e-06  	-1.88175136e-16	2.63513564e-19
1.541118e-06   	-1.89850580e-16	2.65867851e-19
1.5422054e-06  	-1.91592004e-16	2.68313857e-19
1.5432825e-06  	-1.93405792e-16	2.70857362e-19
1.5443496e-06  	-1.95295413e-16	2.73503773e-19
1.5454068e-06  	-1.97255186e-16	2.76246044e-19
1.5464567e-06  	-1.99277836e-16	2.79074638e-19
1.5474969e-06  	-2.01352415e-16	2.81977886e-19
1.5485324e-06  	-2.03482241e-16	2.84955755e-19
1.5495608e-06  	-2.05656668e-16	2.88002846e-19
1.5505845e-06  	-2.07897573e-16	2.91141421e-19
1.551599e-06   	-2.10188621e-16	2.94352638e-19
1.5526067e-06  	-2.12567113e-16	2.97695322e-19
1.5536075e-06  	-2.15064360e-16	3.01180285e-19
1.5546017e-06  	-2.17664415e-16	3.04840591e-19
1.5555893e-06  	-2.20451728e-16	3.08733088e-19
1.5565703e-06  	-2.23473236e-16	3.12985182e-19
1.5575449e-06  	-2.26761697e-16	3.17559083e-19
1.5585131e-06  	-2.30376763e-16	3.22618033e-19
1.559477e-06   	-2.34367561e-16	3.28209523e-19
1.5604347e-06  	-2.38921495e-16	3.34586014e-19
1.5613861e-06  	-2.43910995e-16	3.41536942e-19
1.5623335e-06  	-2.49209482e-16	3.48932181e-19
1.5632747e-06  	-2.54776832e-16	3.56724557e-19
1.5642119e-06  	-2.60654131e-16	3.64966286e-19
1.565145e-06   	-2.66893701e-16	3.73718037e-19
1.5660722e-06  	-2.73540069e-16	3.83047254e-19
1.5669955e-06  	-2.80668579e-16	3.93031246e-19
1.5679148e-06  	-2.88339634e-16	4.03792693e-19
1.5688302e-06  	-2.96624375e-16	4.15401152e-19
1.5697418e-06  	-3.05633708e-16	4.28013873e-19
1.5706495e-06  	-3.15515772e-16	4.41856386e-19
1.5715534e-06  	-3.26389658e-16	4.57080522e-19
1.5724535e-06  	-3.38266984e-16	4.73699911e-19
1.5733498e-06  	-3.51131424e-16	4.91700722e-19
1.5742443e-06  	-3.64978088e-16	5.11080341e-19
1.575135e-06   	-3.79766791e-16	5.31777822e-19
1.576022e-06   	-3.95533737e-16	5.53861299e-19
1.5769071e-06  	-4.12390504e-16	5.77473672e-19
1.5777885e-06  	-4.30375956e-16	6.02673039e-19
1.5786682e-06  	-4.49564130e-16	6.29532965e-19
1.5795441e-06  	-4.69954247e-16	6.58085170e-19
1.5804182e-06  	-4.91684085e-16	6.88499404e-19
1.5812887e-06  	-5.14792881e-16	7.20864092e-19
1.5821574e-06  	-5.39426920e-16	7.55357810e-19
1.5830243e-06  	-5.65642744e-16	7.92071842e-19
1.5838876e-06  	-5.93427211e-16	8.30979863e-19
1.5847491e-06  	-6.22864041e-16	8.72194043e-19
1.5856089e-06  	-6.53989897e-16	9.15783179e-19
1.5864668e-06  	-6.86861426e-16	9.61809465e-19
1.587323e-06   	-7.21538062e-16	1.01036196e-18
1.5881774e-06  	-7.58100334e-16	1.06156170e-18
1.58903e-06    	-7.96575061e-16	1.11542950e-18
1.5898809e-06  	-8.37009435e-16	1.17204595e-18
1.59073e-06    	-8.79471890e-16	1.23149817e-18
1.5915774e-06  	-9.24014131e-16	1.29386037e-18
1.592423e-06   	-9.70695921e-16	1.35921028e-18
1.5932668e-06  	-1.01967881e-15	1.42779414e-18
1.5941089e-06  	-1.07120223e-15	1.49993656e-18
1.594951e-06   	-1.12553296e-15	1.57600907e-18
1.5957914e-06  	-1.18276193e-15	1.65614972e-18
1.59663e-06    	-1.24309316e-15	1.74063442e-18
1.5974686e-06  	-1.30682730e-15	1.82988294e-18
1.5983054e-06  	-1.37398916e-15	1.92393351e-18
1.5991406e-06  	-1.44467220e-15	2.02290566e-18
1.5999757e-06  	-1.51911779e-15	2.12714361e-18
1.6008091e-06  	-1.59731229e-15	2.23663444e-18
1.6016424e-06  	-1.67954295e-15	2.35176679e-18
1.6024758e-06  	-1.76602015e-15	2.47285210e-18
1.6033075e-06  	-1.85685001e-15	2.60004300e-18
1.6041391e-06  	-1.95247550e-15	2.73394193e-18
1.6049708e-06  	-2.05319301e-15	2.87497577e-18
1.6058006e-06  	-2.15900400e-15	3.02313267e-18
